mineral_name,rruff,ima
Turkestanite,"(K,[box])(Ca,Na)_2_ThSi_8_O_20_·nH_2_O","(K,[box])(Ca,Na)_2_ThSi_8_O_20_·nH_2_O"
Umbozerite,Na_3_Sr_4_Th^4+^Si_8_O_23_(OH),"Na_3_Sr_4_ThSi_8_(O,OH)_24_"
Vernadite,"(Mn^4+^,Fe^3+^,Ca,Na)(O,OH)_2_·nH_2_O","(Mn,Fe,Ca,Na)(O,OH)_2_·nH_2_O"
Weissite,Cu_2-x_Te,Cu_2-x_Te
Woodruffite,Zn^2+^_2_Mn^4+^_5_O_12_·4H_2_O,"Zn_2_(Mn^4+^,Mn^3+^)_5_O_10_·4H_2_O"
Woodwardite,"(Cu^2+^,Al)_9_(S^6+^O_4_)_2_(OH)_18_·nH_2_O","(Cu_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n < 3x/2)"
Yedlinite,Pb^2+^_6_Cr^3+^Cl^1-^_6_O(OH)_7_,"Pb_6_Cr(Cl,OH)_6_(OH,O)_8_"
Yukonite,Ca_7_Fe^3+^_15_(As^5+^O_4_)_9_O_16_·25H_2_O,Ca_2_Fe^3+^_3_(AsO_4_)_3_(OH)_4_·4H_2_O
Zemannite,Mg_0.5_Zn^2+^Fe^3+^(Te^4+^O_3_)_3_·<i>n</i>H_2_O (3≤<i>n</i>≤4.5),Mg_0.5_ZnFe^3+^(Te^4+^O_3_)_3_·<i>n</i>H_2_O (3≤<i>n</i>≤4.5)
Zincaluminite,"(Zn^2+^,Al)_9_(S^6+^O_4_)_2_(OH)_18_·nH_2_O","(Zn_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)"
Zincowoodwardite,Zn^2+^_1-x_Al_x_(OH)_2_(S^6+^O_4_)_x/2_·nH_2_O (x=0.32-0.50),"(Zn_1-x_Al_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n < 3x/2)"
Zirkelite,"(Ti^4+^,Ca,Zr^4+^)O_2-x_","(Ti,Ca,Zr)O_2-x_"
Bannisterite,"(Ca,K,Na)(Mn^2+^,Fe^2+^)_10_(Si,Al)_16_O_38_(OH)_8_·nH_2_O","(Ca,K,Na)(Mn^2+^,Fe^2+^)_10_(Si,Al)_16_O_38_(OH)_8_·nH_2_O"
Coutinhoite,Th_x_Ba_1-2x_(UO_2_)_2_Si_5_O_13_·3H_2_O,Th_x_Ba_1-2x_(UO_2_)_2_Si_5_O_13_·3H_2_O
Diversilite-(Ce),Na_2_Ba_6_Ce^3+^_2_Fe^2+^Ti^4+^_3_Si_12_O_36_(OH)_10_·nH_2_O,Na_2_Ba_6_Ce_2_Fe^2+^Ti_3_Si_12_O_36_(OH)_10_·nH_2_O
Ilsemannite,Mo^4+^Mo^6+^_2_O_8_·nH_2_O,Mo_3_O_8_·nH_2_O (?)
Ilmajokite,"(Na,Ce^3+^,Ba)_10_Ti^4+^_5_Si_14_O_22_(OH)_44_·nH_2_O","(Na,Ce,Ba)_10_Ti_5_Si_14_O_22_(OH)_44_·nH_2_O"
Natroglaucocerinite,Zn^2+^_8-x_Al_x_(OH)_16_(S^6+^O_4_)_x/2+y/2_Na_y_(H_2_O)_6_,Zn_6_Al_3_(OH)_18_[Na(H_2_O)_6_](SO_4_)_2_·6H_2_O
Gerasimovskite,Mn^2+^Ti^4+^_3_Nb^5+^_2_O_12_·9H_2_O,"Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O (?)"
Tsepinite-Ca,"(Ca,K,Na)_2-x_(Ti^4+^,Nb^5+^)_2_Si_4_O_12_(OH,O)_2_·4H_2_O","(Ca,K,Na)_2-x_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·4H_2_O"
Paraschoepite,U^6+^O_3_·(2-x)H_2_O,UO_3_·(2-x)H_2_O
Paratsepinite-Ba,"(Ba,Na,K)_2-x_(Ti^4+^,Nb^5+^)_2_(Si_4_O_12_)(OH,O)_2_·4H_2_O","(Ba,Na,K)_2-x_(Ti,Nb)_2_(Si_4_O_12_)(OH,O)_2_·4H_2_O"
Parsettensite,"(K,Na,Ca)_7.5_(Mn^2+^,Mg)_49_Si_72_O_168_(OH)_50_·nH_2_O","(K,Na,Ca)_7.5_(Mn,Mg)_49_Si_72_O_168_(OH)_50_·nH_2_O"
Arapovite,"(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ (x~0.5)","(K_1-x_[box]_x_)(Ca,Na)_2_U^4+^Si_8_O_20_ [x ≈ 0.5]"
Niksergievite,"Ba_2_Al_3_(Si,Al)_4_O_10_(CO_3_)(OH)_6_·nH_2_O","Ba_2_Al_3_(Si,Al)_4_O_10_(CO_3_)(OH)_6_·nH_2_O"
Hundholmenite-(Y),"(Y,REE,Ca,Na)_15_(Al,Fe^3+^)Ca_x_As^3+^_1-x_(Si,As^5+^)Si_6_B_3_(O,F)_48_","(Y,REE,Ca,Na)_15_(Al,Fe^3+^)Ca_x_As^3+^_1-x_(Si,As^5+^)Si_6_B_3_(O,F)_48_"
Barahonaite-(Al),"(Ca,Cu^2+^,Na,Fe^3+^,Al)_12_Al_2_(As^5+^O_4_)_8_(OH,Cl)_x_·nH_2_O","(Ca,Cu,Na,Fe^3+^,Al)_12_Al_2_(AsO_4_)_8_(OH,Cl)_x_·nH_2_O"
Gunterblassite,"(K,Ca)_3-x_Fe^2+^[(Si,Al)_13_O_25_(OH,O)_4_]·7H_2_O","(K,Ca,Ba,Na,[box])_3_Fe[(Si,Al)_13_O_25_(OH,O)_4_]·7H_2_O"
Chibaite,"SiO_2_·n(CH_4_,C_2_H_6_,C_3_H_8_,C_4_H_10_); (n_max_ = 3/17)","SiO_2_·n(CH_4_,C_2_H_6_,C_3_H_8_,C_4_H_10_) (n_max_ = 3/17)"
Arisite-(Ce),NaCe_2_(CO_3_)_2_[(CO_3_)_1-x_F_2x_]F,NaCe_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F
Arisite-(La),NaLa_2_(CO_3_)_2_[(CO_3_)_1-x_F_2x_]F,NaLa_2_(CO_3_)_2_[F_2x_(CO_3_)_1-x_]F
Gelosaite,Bi^3+^Mo^6+^_(2-5x)_Mo^5+^_6x_O_7_(OH)·H_2_O (0≤x≤0.4),BiMo^6+^_(2-5x)_Mo^5+^_6x_O_7_(OH)·H_2_O (0 < x < 0.4)
Chovanite,Pb_15-2x_Sb_14+2x_S_36_O_x_; (x~0.2),Pb_15-2x_Sb_14+2x_S_36_O_x_ (x~0.2)
Fivegite,K_4_Ca_2_[AlSi_7_O_17_(O_2-x_(OH)_x_)][(H_2_O)_2-x_(OH)_x_]Cl (x = 0-2),K_4_Ca_2_[AlSi_7_O_17_(O_2-x_(OH)_x_)][(H_2_O)_2-x_(OH)_x_]Cl (x = 0-2)
Depmeierite,"Na_8_(Al_6_Si_6_O_24_)(PO_4_,CO_3_)_1-x_·3H_2_O; (x<0.5)","Na_8_[Al_6_Si_6_O_24_](PO_4_,CO_3_)_1-x_·3H_2_O (x< 0.5)"
Greenwoodite,"Ba_2-x_(V^3+^OH)_x_V^3+^_9_(Fe^3+^,Fe^2+^)_2_Si_2_O_22_","Ba_2-x_(V^3+^OH)_x_V^3+^_9_(Fe^3+^,Fe^2+^)_2_Si_2_O_22_"
Nordgauite,Mn^2+^Al_2_(P^5+^O_4_)_2_F_2_·5H_2_O,"MnAl_2_(PO_4_)_2_(F,OH)_2_·5.5H_2_O"
Ferrotochilinite,6Fe^2+^S^2-^·5Fe^2+^(OH)_2_,FeS·≈0.85[Fe(OH)_2_]
Protochabourneite,"Tl^1+^_5-x_Pb^2+^_2x_(Sb^3+^,As^3+^)_21-x_S^2-^_34_ (x~1.2-1.5)","Tl_2_Pb(Sb,As)_10_S_17_"
Ekplexite,"(Nb,Mo,W)S_2_·(Mg_1-x_Al_x_)(OH)_2+x_","(Nb,Mo)S_2_·(Mg_1-x_Al_x_)(OH)_2+x_"
Cairncrossite,Sr_2_Ca_7-x_Na_2x_(Si_4_O_10_)_4_(OH)_2_(H_2_O)_15-x_,Sr_2_Ca_7-x_Na_2x_(Si_4_O_10_)_4_(OH)_2_(H_2_O)_15-x_
Kaskasite,"(Mo,Nb)S_2_·(Mg_1-x_Al_x_)(OH)_2+x_","(Mo,Nb)S_2_·(Mg_1-x_Al_x_)(OH)_2+x_"
Manganokaskasite,"(Mo,Nb)S_2_·(Mn^2+^_1-x_Al_x_)(OH)_2+x_","(Mo,Nb)S_2_·(Mn_1-x_Al_x_)(OH)_2+x_"
Centennialite,CaCu^2+^_3_Cl_2_(OH)_6_·nH_2_O  (n ~ 0.7),CaCu_3_Cl_2_(OH)_6_·nH_2_O (n ~ 0.7)
Kojonenite,Pd_7-x_SnTe_2_ (0.3 ≤ x ≤ 0.8),Pd_7-x_SnTe_2_ (0.3 ≤ x ≤ 0.8)
Bosoite,SiO_2_·<i>n</i>C_x_H_2x+2_,SiO_2_·nC_x_H_2x+2_
Betalomonosovite,"Na_5+x_Ti^4+^_4_(Si_2_O_7_)_2_[PO_3_(OH)]_2-y_[PO_2_(OH)_2_]_y_O_2_[(OH,F)_2-x_O_z_], [0<x<2, 0<y<1, 0<z<1]","Na_5+x_Ti_4_(Si_2_O_7_)_2_[PO_3_(OH)]_2-y_[PO_2_(OH)_2_]_y_O_2_[(OH,F)_2-x_O_z_], [0<x<2, 0<y<1, 0<z<1]"
Cyprine,Ca_19_Cu^2+^(Al_10_Mg_2_)Si_18_O_69_(OH)_9_,"Ca_19_Cu^2+^(Al,Mg)_12_Si_18_O_69_(OH)_9_"
Selivanovaite,"NaTi^4+^_3_(Ti^4+^,Na,Fe^3+^,Mn^2+^)_4_(Si_2_O_7_)_2_O_4_(OH,H_2_O)_4_·nH_2_O","NaTi_3_(Ti,Na,Fe,Mn)_4_(Si_2_O_7_)_2_O_4_(OH,H_2_O)_4_·nH_2_O"
Argentoliveingite,Ag_x_Pb_40-2x_As_48+x_S_112_  (3 < x < 4),Ag_x_Pb_40-2x_As_48+x_S_112_ (3 < x < 4)
Lagalyite,Ca_2x_Mn^4+^_1-x_O_2_·1.5-2H_2_O (x = 0.05-0.08),Ca_2x_Mn_1-x_O_2_·1.5-2H_2_O (x = 0.05-0.08)
Rhabdoborite-(V),"Mg_12_(V^5+^,Mo^6+^,W^6+^)_1.5_O_6_{[BO_3_]_6-x_[(P,As^5+^)O_4_]_x_F_2-x_} (x < 1)","Mg_12_(V^5+^,Mo^6+^,W^6+^)_1.5_O_6_{[BO_3_]_6-x_[(P,As)O_4_]_x_F_2-x_} (x < 1)"
Rhabdoborite-(W),"Mg_12_(W^6+^,V^5+^)_1.5_O_6_{[BO_3_]_6-x_[(P,As^5+^)O_4_]_x_F_2-x_} (x < 1)","Mg_12_(W^6+^,V^5+^)_1.5_O_6_{[BO_3_]_6-x_[(P,As)O_4_]_x_F_2-x_} (x < 1)"
Camanchacaite,Na[box]CaMg_2_[As^5+^O_4_]_2_[As^5+^O_2_(OH)_2_],Na[box]CaMg_2_[AsO_4_]_2_[AsO_3_(OH)_2_]
Bohuslavite,Fe^3+^_4_(PO_4_)_3_(S^6+^O_4_)(OH)·nH_2_O (15≤n≤24),Fe^3+^_4_(PO_4_)_3_(SO_4_)(OH)·nH_2_O (15≤n≤24)
