mineral_name,element,ima_count,rruff_count,ima,rruff
Kuzmenkoite-Mn,O,33.5,65,K_2_MnTi_4_(Si_4_O_12_)_2_(OH)_4_·5-6H_2_O,"K_4_Mn^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·10-12H_2_O"
Kuzmenkoite-Mn,Si,8,16,K_2_MnTi_4_(Si_4_O_12_)_2_(OH)_4_·5-6H_2_O,"K_4_Mn^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·10-12H_2_O"
Kuzmenkoite-Mn,Ti,4,8,K_2_MnTi_4_(Si_4_O_12_)_2_(OH)_4_·5-6H_2_O,"K_4_Mn^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·10-12H_2_O"
Labuntsovite-Fe,H,26,24,Na_4_K_4_Fe^2+^_2_Ti_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O,"Na_4_K_4_Fe^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(O,OH)_8_·10-12H_2_O"
Labuntsovite-Fe,O,67,65,Na_4_K_4_Fe^2+^_2_Ti_8_O_4_(Si_4_O_12_)_4_(OH)_4_·10-12H_2_O,"Na_4_K_4_Fe^2+^_2_Ti^4+^_8_(Si_4_O_12_)_4_(O,OH)_8_·10-12H_2_O"
Laitakarite,Se,1.5,3,"Bi_4_(Se,S)_3_",Bi_4_Se_3_
Launayite,S,20,30,"CuPb_10_(Sb,As)_13_S_20_","CuPb_10_(Sb,As)_13_S_30_"
Lavenite,Ca,2,1,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,F,2,1,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Fe,1,0.5,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Mn,1,0.5,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Na,2,1,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Nb,0.666666666666666,0.333333333333333,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,O,16,8,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Si,4,2,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Ti,0.666666666666666,0.333333333333333,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Lavenite,Zr,0.666666666666666,0.333333333333333,"(Na,Ca)_4_(Mn^2+^,Fe^2+^)_2_(Zr,Ti,Nb)_2_(Si_2_O_7_)_2_(O,F)_4_","(Na,Ca)_2_(Mn^2+^,Fe^2+^)(Zr^4+^,Ti^4+^,Nb^5+^)(Si_2_O_7_)(O,F)_2_"
Luinaite-(OH),Fe,1.5,3,"(Na,[box])(Fe^2+^,Mg)_3_Al_6_(BO_3_)_3_Si_6_O_18_(OH)_4_",NaFe^2+^_3_Al_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH
Lukrahnite,Cu,1,0.5,"CaCuFe^3+^(AsO_4_)_2_(OH,H_2_O)_2_","Ca(Cu^2+^,Zn^2+^)(Fe^3+^,Zn^2+^)(As^5+^O_4_)_2_(OH,H_2_O)_2_"
Lukrahnite,Fe,1,0.5,"CaCuFe^3+^(AsO_4_)_2_(OH,H_2_O)_2_","Ca(Cu^2+^,Zn^2+^)(Fe^3+^,Zn^2+^)(As^5+^O_4_)_2_(OH,H_2_O)_2_"
Magnesioneptunite,Mg,1,2,"KNa_2_Li(Mg,Fe)_2_Ti_2_Si_8_O_24_",KNa_2_LiMg_2_Ti^4+^_2_Si_8_O_24_
Magnussonite,As,6,3,"Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_","Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)"
Magnussonite,Cl,1,0.5,"Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_","Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)"
Magnussonite,H,0.5,0.25,"Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_","Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)"
Magnussonite,Mn,10,5,"Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_","Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)"
Magnussonite,O,18.5,9.25,"Mn^2+^_10_As^3+^_6_O_18_(OH,Cl)_2_","Mn^2+^_5_As^3+^_3_O_9_(OH,Cl)"
Manganbelyankinite,Mn,1,0.5,"Mn^2+^(Ti,Nb)_5_O_12_·9H_2_O","(Mn^2+^,Ca)(Ti^4+^,Nb^5+^)_5_O_12_·9H_2_O"
Mapiquiroite,Fe,11,7.99999999999999,"(Sr,Pb)(U,Y)Fe_2_(Ti,Fe^3+^)_18_O_38_","(Sr,Pb^2+^)(U^4+^,Y^3+^)Fe^3+^_2_(Ti^4+^,Fe^3+^,Cr^3+^)_18_O_38_"
Mapiquiroite,Ti,9,5.99999999999999,"(Sr,Pb)(U,Y)Fe_2_(Ti,Fe^3+^)_18_O_38_","(Sr,Pb^2+^)(U^4+^,Y^3+^)Fe^3+^_2_(Ti^4+^,Fe^3+^,Cr^3+^)_18_O_38_"
Marumoite,As,40,10,Pb_32_As_40_S_92_,Pb^2+^_8_As^3+^_10_S^2-^_23_
Marumoite,Pb,32,8,Pb_32_As_40_S_92_,Pb^2+^_8_As^3+^_10_S^2-^_23_
Marumoite,S,92,23,Pb_32_As_40_S_92_,Pb^2+^_8_As^3+^_10_S^2-^_23_
Mendeleevite-(Ce),Ca,9.99999999999999,15,"Cs_6_(Ce,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_","Cs^1+^_6_(Ce^3+^,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_"
Mendeleevite-(Ce),Ce,9.99999999999999,15,"Cs_6_(Ce,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_","Cs^1+^_6_(Ce^3+^,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_"
Mendeleevite-(Nd),Ca,9.99999999999999,15,"Cs_6_(Nd,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_","Cs^1+^_6_(Nd^3+^,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_"
Mendeleevite-(Nd),Nd,9.99999999999999,15,"Cs_6_(Nd,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_","Cs^1+^_6_(Nd^3+^,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_"
Metanovacekite,H,16,12,Mg(UO_2_)_2_(AsO_4_)_2_·8H_2_O,Mg(U^6+^O_2_)_2_(As^5+^O_4_)_2_·4-8H_2_O
Metanovacekite,O,20,18,Mg(UO_2_)_2_(AsO_4_)_2_·8H_2_O,Mg(U^6+^O_2_)_2_(As^5+^O_4_)_2_·4-8H_2_O
Meurigite-K,H,20,19,KFe^3+^_8_(PO_4_)_6_(OH)_7_·6.5H_2_O,[K(H_2_O)_2.5_][Fe^3+^_8_(PO_4_)_6_(OH)_7_]·4H_2_O
Meurigite-K,O,37.5,37,KFe^3+^_8_(PO_4_)_6_(OH)_7_·6.5H_2_O,[K(H_2_O)_2.5_][Fe^3+^_8_(PO_4_)_6_(OH)_7_]·4H_2_O
Milanriederite,Al,6.66666666666666,8,"(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_",Ca_19_Fe^3+^Al_4_(Mg_4_Al_4_)Si_18_O_67_(OH)_11_
Milanriederite,Ca,9.5,19,"(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_",Ca_19_Fe^3+^Al_4_(Mg_4_Al_4_)Si_18_O_67_(OH)_11_
Milanriederite,Fe,3.66666666666666,1,"(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_",Ca_19_Fe^3+^Al_4_(Mg_4_Al_4_)Si_18_O_67_(OH)_11_
Milanriederite,H,2.5,11,"(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_",Ca_19_Fe^3+^Al_4_(Mg_4_Al_4_)Si_18_O_67_(OH)_11_
Milanriederite,Mg,2.66666666666666,4,"(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_",Ca_19_Fe^3+^Al_4_(Mg_4_Al_4_)Si_18_O_67_(OH)_11_
Milanriederite,O,75.5,78,"(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_",Ca_19_Fe^3+^Al_4_(Mg_4_Al_4_)Si_18_O_67_(OH)_11_
Minehillite,K,1,2.5,"(K,Na)_2_Ca_28_Zn_5_Al_4_Si_40_O_112_(OH)_16_",K_2-3_Ca_28_Zn^2+^_5_Al_4_Si_40_O_112_(OH)_16_
Muirite,H,1.66666666666667,10,"Ba_10_Ca_2_Mn^2+^TiSi_10_O_30_(OH,Cl,F)_10_",Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
Muirite,O,31.66666666666667,40,"Ba_10_Ca_2_Mn^2+^TiSi_10_O_30_(OH,Cl,F)_10_",Ba_10_Ca_2_Mn^2+^Ti^4+^Si_10_O_30_(OH)_10_
Mutnovskite,I,0.333333333333333,1,"Pb_2_AsS_3_(I,Cl,Br)",Pb^2+^_2_As^3+^S^2-^_3_I^1-^
Nagyagite,Au,1.5,0.5,"[Pb_3_(Pb,Sb)_3_S_6_](Au,Te)_3_","[Pb(Pb,Sb)S_2_][(Au,Te)]"
Nagyagite,Pb,4.5,1.5,"[Pb_3_(Pb,Sb)_3_S_6_](Au,Te)_3_","[Pb(Pb,Sb)S_2_][(Au,Te)]"
Nagyagite,S,6,2,"[Pb_3_(Pb,Sb)_3_S_6_](Au,Te)_3_","[Pb(Pb,Sb)S_2_][(Au,Te)]"
Nagyagite,Sb,1.5,0.5,"[Pb_3_(Pb,Sb)_3_S_6_](Au,Te)_3_","[Pb(Pb,Sb)S_2_][(Au,Te)]"
Nagyagite,Te,1.5,0.5,"[Pb_3_(Pb,Sb)_3_S_6_](Au,Te)_3_","[Pb(Pb,Sb)S_2_][(Au,Te)]"
Nioboaeschynite-(Y),Ca,0.2,0.25,"(Y,REE,Ca,Th,Fe)(Nb,Ti,Ta)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^,Fe^3+^)(Nb^5+^,Ti^4+^,Ta^5+^)_2_(O,OH)_6_"
Nioboaeschynite-(Y),Fe,0.2,0.25,"(Y,REE,Ca,Th,Fe)(Nb,Ti,Ta)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^,Fe^3+^)(Nb^5+^,Ti^4+^,Ta^5+^)_2_(O,OH)_6_"
Nioboaeschynite-(Y),Th,0.2,0.25,"(Y,REE,Ca,Th,Fe)(Nb,Ti,Ta)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^,Fe^3+^)(Nb^5+^,Ti^4+^,Ta^5+^)_2_(O,OH)_6_"
Nioboaeschynite-(Y),Y,0.2,0.25,"(Y,REE,Ca,Th,Fe)(Nb,Ti,Ta)_2_(O,OH)_6_","(Y^3+^,Ca,Th^4+^,Fe^3+^)(Nb^5+^,Ti^4+^,Ta^5+^)_2_(O,OH)_6_"
Nordstromite,S,7,14,"Pb_3_CuBi_7_(S,Se)_14_",Pb_3_CuBi_7_S_14_
Normandite,Ca,2,1,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,F,2,1,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Fe,1,0.5,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Mn,1,0.5,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Na,2,1,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Nb,0.666666666666666,0.333333333333333,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,O,16,8,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Si,4,2,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Ti,0.666666666666666,0.333333333333333,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Normandite,Zr,0.666666666666666,0.333333333333333,"Na_2_Ca_2_(Mn,Fe)_2_(Ti,Nb,Zr)_2_(Si_2_O_7_)_2_O_2_F_2_","NaCa(Mn^2+^,Fe^2+^)(Ti^4+^,Nb^5+^,Zr^4+^)(Si_2_O_7_)OF"
Novacekite-II,H,20,18,Mg(UO_2_)_2_(AsO_4_)_2_·10H_2_O,Mg(U^6+^O_2_)_2_(As^5+^O_4_)_2_·9H_2_O
Novacekite-II,O,22,21,Mg(UO_2_)_2_(AsO_4_)_2_·10H_2_O,Mg(U^6+^O_2_)_2_(As^5+^O_4_)_2_·9H_2_O
Oftedalite,Si,12,11,KSc_2_[box]_2_Be_3_Si_12_O_30_,KSc^3+^_2_(Be_3_AlSi_11_)O_30_
Okenite,Ca,10,5,Ca_10_Si_18_O_46_·18H_2_O,Ca_5_Si_9_O_23_·9H_2_O
Okenite,H,36,18,Ca_10_Si_18_O_46_·18H_2_O,Ca_5_Si_9_O_23_·9H_2_O
Okenite,O,64,32,Ca_10_Si_18_O_46_·18H_2_O,Ca_5_Si_9_O_23_·9H_2_O
Okenite,Si,18,9,Ca_10_Si_18_O_46_·18H_2_O,Ca_5_Si_9_O_23_·9H_2_O
Olgite,Ba,0.5,1,"(Ba,Sr)(Na,Sr,REE)_2_Na(PO_4_)_2_","Na(Na,Sr)_2_Ba(PO_4_)_2_"
Olgite,Na,1.666666666666666,2,"(Ba,Sr)(Na,Sr,REE)_2_Na(PO_4_)_2_","Na(Na,Sr)_2_Ba(PO_4_)_2_"
Olgite,Sr,1.166666666666666,1,"(Ba,Sr)(Na,Sr,REE)_2_Na(PO_4_)_2_","Na(Na,Sr)_2_Ba(PO_4_)_2_"
Oxy-vanadium-dravite,H,3,4,NaV_3_(V_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,NaMg_3_V^3+^_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH
Oxy-vanadium-dravite,Mg,2,3,NaV_3_(V_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,NaMg_3_V^3+^_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH
Oxy-vanadium-dravite,V,7,6,NaV_3_(V_4_Mg_2_)(Si_6_O_18_)(BO_3_)_3_(OH)_3_O,NaMg_3_V^3+^_6_(Si_6_O_18_)(BO_3_)_3_(OH)_3_OH
Paceite,C,8,4,CaCu(CH_3_COO)_4_·6H_2_O,CaCu(CH_3_COO)_2_·6H_2_O
Paceite,H,24,18,CaCu(CH_3_COO)_4_·6H_2_O,CaCu(CH_3_COO)_2_·6H_2_O
Paceite,O,14,10,CaCu(CH_3_COO)_4_·6H_2_O,CaCu(CH_3_COO)_2_·6H_2_O
Pararealgar,As,4,1,As_4_S_4_,AsS
Pararealgar,S,4,1,As_4_S_4_,AsS
Paraschachnerite,Ag,3,1.2,Ag_3_Hg_2_,Ag_1.2_Hg_0.8_
Paraschachnerite,Hg,2,0.8,Ag_3_Hg_2_,Ag_1.2_Hg_0.8_
Parasibirskite,B,2,1,Ca_2_B_2_O_5_·H_2_O,CaHBO_3_
Parasibirskite,Ca,2,1,Ca_2_B_2_O_5_·H_2_O,CaHBO_3_
Parasibirskite,H,2,1,Ca_2_B_2_O_5_·H_2_O,CaHBO_3_
Parasibirskite,O,6,3,Ca_2_B_2_O_5_·H_2_O,CaHBO_3_
Paratimroseite,Cu,4,2,Pb_2_Cu_4_(TeO_6_)_2_(H_2_O)_2_,Pb^2+^Cu^2+^_2_(Te^6+^O_6_)·H_2_O
Paratimroseite,H,4,2,Pb_2_Cu_4_(TeO_6_)_2_(H_2_O)_2_,Pb^2+^Cu^2+^_2_(Te^6+^O_6_)·H_2_O
Paratimroseite,O,14,7,Pb_2_Cu_4_(TeO_6_)_2_(H_2_O)_2_,Pb^2+^Cu^2+^_2_(Te^6+^O_6_)·H_2_O
Paratimroseite,Pb,2,1,Pb_2_Cu_4_(TeO_6_)_2_(H_2_O)_2_,Pb^2+^Cu^2+^_2_(Te^6+^O_6_)·H_2_O
Paratimroseite,Te,2,1,Pb_2_Cu_4_(TeO_6_)_2_(H_2_O)_2_,Pb^2+^Cu^2+^_2_(Te^6+^O_6_)·H_2_O
Parsonsite,O,10,11,Pb_2_(UO_2_)(PO_4_)_2_,Pb_2_(UO_2_)(PO_4_)_2_·0-2H_2_O
Pearceite,As,1,2,"[Ag_9_CuS_4_][(Ag,Cu)_6_(As,Sb)_2_S_7_]","Cu(Ag,Cu)_6_Ag_9_As_2_S_11_"
Peatite-(Y),C,4,1,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),Ca,3,0.999999999999999,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),F,4,1,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),H,2,0.5,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),Li,4,1,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),Na,15,3.999999999999999,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),O,62,15.5,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),P,12,3,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Peatite-(Y),Y,3,0.999999999999999,"Li_4_Na_12_(Y,Na,Ca,REE)_12_(PO_4_)_12_(CO_3_)_4_(F,OH)_8_","LiNa_3_(Y,Na,Ca)_3_(PO_4_)_3_(CO_3_)(F,OH)_2_"
Penkvilksite,H,4,8,Na_2_TiSi_4_O_11_·2H_2_O,Na_4_Ti^4+^_2_Si_8_O_22_·4H_2_O
Penkvilksite,Na,2,4,Na_2_TiSi_4_O_11_·2H_2_O,Na_4_Ti^4+^_2_Si_8_O_22_·4H_2_O
Penkvilksite,O,13,26,Na_2_TiSi_4_O_11_·2H_2_O,Na_4_Ti^4+^_2_Si_8_O_22_·4H_2_O
Penkvilksite,Si,4,8,Na_2_TiSi_4_O_11_·2H_2_O,Na_4_Ti^4+^_2_Si_8_O_22_·4H_2_O
Penkvilksite,Ti,1,2,Na_2_TiSi_4_O_11_·2H_2_O,Na_4_Ti^4+^_2_Si_8_O_22_·4H_2_O
Pennantite,Al,2,5,Mn^2+^_5_Al(Si_3_Al)O_10_(OH)_8_,"(Mn^2+^,Al)_6_(Si,Al)_4_O_10_(OH)_8_"
Pennantite,Mn,5,3,Mn^2+^_5_Al(Si_3_Al)O_10_(OH)_8_,"(Mn^2+^,Al)_6_(Si,Al)_4_O_10_(OH)_8_"
Pennantite,Si,3,2,Mn^2+^_5_Al(Si_3_Al)O_10_(OH)_8_,"(Mn^2+^,Al)_6_(Si,Al)_4_O_10_(OH)_8_"
Penroseite,Ni,0.333333333333333,1,"(Ni,Co,Cu)Se_2_",Ni^2+^(Se_2_)^2-^
Peprossiite-(Ce),O,10,10.67,"(Ce,La)(Al_3_O)_2/3_B_4_O_10_","(Ce,La)Al_2_B_4_O_10.67_"
Perrierite-(La),Fe,1.83333333333333,3,"(La,Ce,Ca)_4_(Fe^2+^,Mn)(Ti,Fe^3+^,Al)_4_[(Si_2_O_7_)O_4_]_2_","(La^3+^,Ce^3+^,Ca)_4_Fe^2+^(Ti^4+^,Fe^3+^)_4_(Si_2_O_7_)_2_O_8_"
Perrierite-(La),Ti,1.33333333333333,2,"(La,Ce,Ca)_4_(Fe^2+^,Mn)(Ti,Fe^3+^,Al)_4_[(Si_2_O_7_)O_4_]_2_","(La^3+^,Ce^3+^,Ca)_4_Fe^2+^(Ti^4+^,Fe^3+^)_4_(Si_2_O_7_)_2_O_8_"
Petrukite,Cu,1,2,"(Cu,Ag)_2_(Fe,Zn)(Sn,In)S_4_",Cu^1+^_2_Fe^2+^Sn^4+^S^2-^_4_
Petrukite,Fe,0.5,1,"(Cu,Ag)_2_(Fe,Zn)(Sn,In)S_4_",Cu^1+^_2_Fe^2+^Sn^4+^S^2-^_4_
Petrukite,Sn,0.5,1,"(Cu,Ag)_2_(Fe,Zn)(Sn,In)S_4_",Cu^1+^_2_Fe^2+^Sn^4+^S^2-^_4_
Phosphofibrite,H,18,25.5,"(H_2_O,K)_3.5_Fe^3+^_8_(PO_4_)_6_(OH)_7_·5H_2_O",(K_0.5_(H_2_O)_3_)Fe^3+^_8_(PO_4_)_6_(OH)_6.5_·6.5H_2_O
Phosphofibrite,K,1.5,0.5,"(H_2_O,K)_3.5_Fe^3+^_8_(PO_4_)_6_(OH)_7_·5H_2_O",(K_0.5_(H_2_O)_3_)Fe^3+^_8_(PO_4_)_6_(OH)_6.5_·6.5H_2_O
Phosphofibrite,O,36.5,40,"(H_2_O,K)_3.5_Fe^3+^_8_(PO_4_)_6_(OH)_7_·5H_2_O",(K_0.5_(H_2_O)_3_)Fe^3+^_8_(PO_4_)_6_(OH)_6.5_·6.5H_2_O
Pierrotite,As,5,2,"Tl_2_(Sb,As)_10_S_16_",TlSb_3_As_2_S_8_
Pierrotite,S,16,8,"Tl_2_(Sb,As)_10_S_16_",TlSb_3_As_2_S_8_
Pierrotite,Sb,5,3,"Tl_2_(Sb,As)_10_S_16_",TlSb_3_As_2_S_8_
Pierrotite,Tl,2,1,"Tl_2_(Sb,As)_10_S_16_",TlSb_3_As_2_S_8_
Pigeonite,Ca,0.666666666666666,0.333333333333333,"(Mg,Fe,Ca)_2_Si_2_O_6_","(Mg,Fe^2+^,Ca)SiO_3_"
Pigeonite,Fe,0.666666666666666,0.333333333333333,"(Mg,Fe,Ca)_2_Si_2_O_6_","(Mg,Fe^2+^,Ca)SiO_3_"
Pigeonite,Mg,0.666666666666666,0.333333333333333,"(Mg,Fe,Ca)_2_Si_2_O_6_","(Mg,Fe^2+^,Ca)SiO_3_"
Pigeonite,O,6,3,"(Mg,Fe,Ca)_2_Si_2_O_6_","(Mg,Fe^2+^,Ca)SiO_3_"
Pigeonite,Si,2,1,"(Mg,Fe,Ca)_2_Si_2_O_6_","(Mg,Fe^2+^,Ca)SiO_3_"
Plumboagardite,Ca,0.333333333333333,0.2,"(Pb,REE,Ca)Cu_6_(AsO_4_)_3_(OH)_6_·3H_2_O","Cu^2+^_6_(Pb^2+^,La^3+^,Nd^3+^,Ce^3+^,Ca)(As^5+^O_4_)_3_(OH)_6_·3H_2_O"
