mineral_name,rruff_chemistry,ima_chemistry,chemistry_elements
Earlshannonite,Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·4H_2_O,Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O,Mn Fe P O H
Edingtonite,Ba(Si_3_Al_2_)O_10_·4H_2_O,Ba(Si<sub>3</sub>Al<sub>2</sub>)O<sub>10</sub>·4H<sub>2</sub>O,Ba Si Al O H
Edwardsite,Cu^2+^_3_Cd^2+^_2_(S^6+^O_4_)_2_(OH)_6_·4H_2_O,Cu<sub>3</sub>Cd<sub>2</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·4H<sub>2</sub>O,Cu Cd S O H
Ehrleite,Ca_2_Zn^2+^Be(P^5+^O_4_)_2_(P^5+^O_3_OH)·4H_2_O,Ca<sub>2</sub>ZnBe(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)·4H<sub>2</sub>O,Ca Zn Be P O H
Ekaterinite,Ca_2_B_4_O_7_Cl_2_·2H_2_O,Ca<sub>2</sub>B<sub>4</sub>O<sub>7</sub>Cl<sub>2</sub>·2H<sub>2</sub>O,Ca B O Cl H
Eleonorite,Fe^3+^_6_(P^5+^O_4_)_4_O(OH)_4_·6H_2_O,Fe<sup>3+</sup><sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>O(OH)<sub>4</sub>·6H<sub>2</sub>O,Fe P O H
Eliseevite,Na_1.5_Li{Ti^4+^_2_O_2_[Si_4_O_10.5_(OH)_1.5_]}·2H_2_O,Na<sub>1.5</sub>Li{Ti<sub>2</sub>O<sub>2</sub>[Si<sub>4</sub>O<sub>10.5</sub>(OH)<sub>1.5</sub>]}·2H<sub>2</sub>O,Na Li Ti O Si H
Ellingsenite,Na_5_Ca_6_Si_18_O_38_(OH)_13_·6H_2_O,Na<sub>5</sub>Ca<sub>6</sub>Si<sub>18</sub>O<sub>38</sub>(OH)<sub>13</sub>·6H<sub>2</sub>O,Na Ca Si O H
Elpidite,Na_2_Zr^4+^Si_6_O_15_·3H_2_O,Na<sub>2</sub>ZrSi<sub>6</sub>O<sub>15</sub>·3H<sub>2</sub>O,Na Zr Si O H
Elyite,Cu^2+^Pb^2+^_4_(S^6+^O_4_)O_2_(OH)_4_·H_2_O,CuPb<sub>4</sub>(SO<sub>4</sub>)O<sub>2</sub>(OH)<sub>4</sub>·H<sub>2</sub>O,Cu Pb S O H
Embreyite,Pb^2+^_5_(Cr^6+^O_4_)_2_(P^5+^O_4_)_2_·H_2_O,Pb<sub>5</sub>(CrO<sub>4</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Pb Cr O P H
Emmonsite,Fe^3+^_2_(Te^4+^O_3_)_3_·2H_2_O,Fe<sup>3+</sup><sub>2</sub>(Te<sup>4+</sup>O<sub>3</sub>)<sub>3</sub>·2H<sub>2</sub>O,Fe Te O H
Englishite,K_3_Na_2_Ca_10_Al_15_(OH)_7_(PO_4_)_21_·26H_2_O,K<sub>3</sub>Na<sub>2</sub>Ca<sub>10</sub>Al<sub>15</sub>(OH)<sub>7</sub>(PO<sub>4</sub>)<sub>21</sub>·26H<sub>2</sub>O,K Na Ca Al O H P
Eosphorite,Mn^2+^AlPO_4_(OH)_2_·H_2_O,Mn<sup>2+</sup>Al(PO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Mn Al P O H
Epididymite,Na_2_Be_2_Si_6_O_15_·H_2_O,Na<sub>2</sub>Be<sub>2</sub>Si<sub>6</sub>O<sub>15</sub>·H<sub>2</sub>O,Na Be Si O H
Epistilbite,Ca_3_(Si_18_Al_6_)O_48_·16H_2_O,Ca<sub>3</sub>[Si<sub>18</sub>Al<sub>6</sub>O<sub>48</sub>]·16H<sub>2</sub>O,Ca Si Al O H
Epsomite,MgS^6+^O_4_·7H_2_O,Mg(SO<sub>4</sub>)·7H<sub>2</sub>O,Mg S O H
Ercitite,NaMn^3+^PO_4_(OH)·2H_2_O,NaMn<sup>3+</sup>(PO<sub>4</sub>)(OH)·2H<sub>2</sub>O,Na Mn P O H
Erdite,NaFe^3+^S^2-^_2_·2H_2_O,NaFeS<sub>2</sub>·2H<sub>2</sub>O,Na Fe S H O
Erikapohlite,([box]_0.5_Cu^2+^_0.5_)Cu^2+^CaZn^2+^_2_(As^5+^O_4_)_3_·H_2_O,([box]<sub>0.5</sub>Cu<sub>0.5</sub>)CuCaZn<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>·H<sub>2</sub>O,Cu Ca Zn As O H
Eriochalcite,Cu^2+^Cl_2_·2H_2_O,CuCl<sub>2</sub>·2H<sub>2</sub>O,Cu Cl H O
Erionite-Ca,Ca_5_(Si_26_Al_10_O_72_)·30H_2_O,Ca<sub>5</sub>[Si<sub>26</sub>Al<sub>10</sub>O<sub>72</sub>]·30H<sub>2</sub>O,Ca Si Al O H
Erionite-K,K_10_(Si_26_Al_10_O_72_)·30H_2_O,K<sub>10</sub>[Si<sub>26</sub>Al<sub>10</sub>O<sub>72</sub>]·30H<sub>2</sub>O,K Si Al O H
Erionite-Na,Na_10_(Si_26_Al_10_O_72_)·30H_2_O,Na<sub>10</sub>[Si<sub>26</sub>Al<sub>10</sub>O<sub>72</sub>]·30H<sub>2</sub>O,Na Si Al O H
Ernienickelite,Ni^2+^Mn^4+^_3_O_7_·3H_2_O,NiMn<sup>4+</sup><sub>3</sub>O<sub>7</sub>·3H<sub>2</sub>O,Ni Mn O H
Ernstburkeite,Mg(CH_3_SO_3_)_2_·12H_2_O,Mg(CH<sub>3</sub>SO<sub>3</sub>)<sub>2</sub>·12H<sub>2</sub>O,Mg C H S O
Ershovite,"K_3_Na_4_(Fe^2+^,Mn^2+^,Ti^4+^)_2_Si_8_O_20_(OH,O)_4_·4H_2_O","K<sub>3</sub>Na<sub>4</sub>(Fe,Mn,Ti)<sub>2</sub>Si<sub>8</sub>O<sub>20</sub>(OH,O)<sub>4</sub>·4H<sub>2</sub>O",K Na Fe Mn Ti Si O H
Erythrite,Co^2+^_3_(As^5+^O_4_)_2_·8H_2_O,Co<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Co As O H
Escheite,Ca_2_NaMn^2+^Ti^4+^_5_[Si_12_O_34_]O_2_(OH)_3_·12H_2_O,Ca<sub>2</sub>NaMnTi<sub>5</sub>[Si<sub>12</sub>O<sub>34</sub>]O<sub>2</sub>(OH)<sub>3</sub>·12H<sub>2</sub>O,Ca Na Mn Ti Si O H
Espadaite,Na_4_Ca_3_Mg_2_[As^5+^O_3_(OH)]_2_[As^5+^O_2_(OH)_2_]_10_(H_2_O)_6_·H_2_O,Na<sub>4</sub>Ca<sub>3</sub>Mg<sub>2</sub>[AsO<sub>3</sub>(OH)]<sub>2</sub>[AsO<sub>2</sub>(OH)<sub>2</sub>]<sub>10</sub>(H<sub>2</sub>O)<sub>6</sub>·H<sub>2</sub>O,Na Ca Mg As O H
Esquireite,BaSi_6_O_13_·7H_2_O,BaSi<sub>6</sub>O<sub>13</sub>·7H<sub>2</sub>O,Ba Si O H
Ettringite,Ca_6_Al_2_(S^6+^O_4_)_3_(OH)_12_·27H_2_O,Ca<sub>6</sub>Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(OH)<sub>12</sub>·27H<sub>2</sub>O,Ca Al S O H
Euchroite,Cu^2+^_2_As^5+^O_4_(OH)·3H_2_O,Cu<sub>2</sub>(AsO<sub>4</sub>)(OH)·3H<sub>2</sub>O,Cu As O H
Eudidymite,Na_2_Be_2_Si_6_O_15_·H_2_O,Na<sub>2</sub>Be<sub>2</sub>Si<sub>6</sub>O<sub>15</sub>·H<sub>2</sub>O,Na Be Si O H
Eugsterite,Na_4_Ca(S^6+^O_4_)_3_·2H_2_O,Na<sub>4</sub>Ca(SO<sub>4</sub>)<sub>3</sub>·2H<sub>2</sub>O,Na Ca S O H
Eurekadumpite,"(Cu^2+^,Zn^2+^)_16_(Te^4+^O_3_)_2_(As^5+^O_4_)_3_Cl^1-^(OH)_18_·7H_2_O","(Cu,Zn)<sub>16</sub>(Te<sup>4+</sup>O<sub>3</sub>)<sub>2</sub>(AsO<sub>4</sub>)<sub>3</sub>Cl(OH)<sub>18</sub>·7H<sub>2</sub>O",Cu Zn Te O As Cl H
Evansite,Al_3_PO_4_(OH)_6_·8H_2_O,Al<sub>3</sub>(PO<sub>4</sub>)(OH)<sub>6</sub>·8H<sub>2</sub>O,Al P O H
Ewaldite,"Ba(Na,Ca,Y,Ce,K)(CO_3_)_2_·2.6H_2_O","Ba(Na,Ca,Y,Ce,K)(CO<sub>3</sub>)<sub>2</sub>·2.6H<sub>2</sub>O",Ba Na Ca Y Ce K C O H
Faheyite,Be_2_Mn^2+^Fe^3+^_2_(PO_4_)_4_·6H_2_O,Be<sub>2</sub>Mn<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>·6H<sub>2</sub>O,Be Mn Fe P O H
Fahleite,CaZn^2+^_5_Fe^3+^_2_(As^5+^O_4_)_6_·14H_2_O,CaZn<sub>5</sub>Fe<sup>3+</sup><sub>2</sub>(AsO<sub>4</sub>)<sub>6</sub>·14H<sub>2</sub>O,Ca Zn Fe As O H
Fairfieldite,Ca_2_Mn^2+^(PO_4_)_2_·2H_2_O,Ca<sub>2</sub>Mn<sup>2+</sup>(PO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Mn P O H
Falcondoite,Ni^2+^_4_Si_6_O_15_(OH)_2_·6H_2_O,Ni<sub>4</sub>Si<sub>6</sub>O<sub>15</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O,Ni Si O H
Falottaite,Mn^2+^(C_2_)^6+^O_4_·3H_2_O,MnC<sub>2</sub>O<sub>4</sub>·3H<sub>2</sub>O,Mn C O H
Fanfaniite,Ca_4_Mn^2+^Al_4_(PO_4_)_6_(OH)_4_·12H_2_O,Ca<sub>4</sub>Mn<sup>2+</sup>Al<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·12H<sub>2</sub>O,Ca Mn Al P O H
Faujasite-Ca,"(Ca,Na,Mg)_2_(Si,Al)_12_O_24_·15H_2_O","(Ca,Na,Mg)<sub>2</sub>(Si,Al)<sub>12</sub>O<sub>24</sub>·15H<sub>2</sub>O",Ca Na Mg Si Al O H
Faujasite-Mg,"(Mg,Na,K,Ca)_2_(Si,Al)_12_O_24_·15H_2_O","(Mg,Na,K,Ca)<sub>2</sub>(Si,Al)<sub>12</sub>O<sub>24</sub>·15H<sub>2</sub>O",Mg Na K Ca Si Al O H
Faujasite-Na,"(Na,Ca,Mg)_2_(Si,Al)_12_O_24_·15H_2_O","(Na,Ca,Mg)<sub>2</sub>(Si,Al)<sub>12</sub>O<sub>24</sub>·15H<sub>2</sub>O",Na Ca Mg Si Al O H
Faustite,Zn^2+^Al_6_(P^5+^O_4_)_4_(OH)_8_·4H_2_O,ZnAl<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,Zn Al P O H
Favreauite,Pb^2+^Bi^3+^Cu^2+^_6_O_4_(Se^4+^O_3_)_4_(OH)·H_2_O,PbBiCu<sub>6</sub>O<sub>4</sub>(SeO<sub>3</sub>)<sub>4</sub>(OH)·H<sub>2</sub>O,Pb Bi Cu O Se H
Fedorite,"(K,Na)_2.5_(Ca,Na)_7_Si_16_O_38_(OH,F)_2_·3.5H_2_O","(K,Na)<sub>2.5</sub>(Ca,Na)<sub>7</sub>Si<sub>16</sub>O<sub>38</sub>(OH,F)<sub>2</sub>·3.5H<sub>2</sub>O",K Na Ca Si O H F
Feinglosite,Pb^2+^_2_Zn^2+^(As^5+^O_4_)_2_·H_2_O,Pb<sub>2</sub>Zn(AsO<sub>4</sub>)<sub>2</sub>·H<sub>2</sub>O,Pb Zn As O H
Felsobanyaite,Al_4_(S^6+^O_4_)(OH)_10_·4H_2_O,Al<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>10</sub>·4H<sub>2</sub>O,Al S O H
Fencooperite,Ba_6_Fe^3+^_3_Si_8_O_23_(CO_3_)_2_Cl_3_·H_2_O,Ba<sub>6</sub>Fe<sup>3+</sup><sub>3</sub>Si<sub>8</sub>O<sub>23</sub>(CO<sub>3</sub>)<sub>2</sub>Cl<sub>3</sub>·H<sub>2</sub>O,Ba Fe Si O C Cl H
Feodosiyite,Cu^2+^_11_Mg_2_Cl_18_(OH)_8_·16H_2_O,Cu<sub>11</sub>Mg<sub>2</sub>Cl<sub>18</sub>(OH)<sub>8</sub>·16H<sub>2</sub>O,Cu Mg Cl O H
Fergusonite-(Ce),Ce^3+^Nb^5+^O_4_·0.3H_2_O,CeNbO<sub>4</sub>·0.3H<sub>2</sub>O,Ce Nb O H
Fermiite,Na_4_(UO_2_)(SO_4_)_3_·3H_2_O,Na<sub>4</sub>(UO<sub>2</sub>)(SO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,Na U O S H
Fernandinite,"(Ca,Na,K)_0.9_(V^5+^,V^4+^,Fe^2+^,Ti^4+^)_8_O_20_·4H_2_O","(Ca,Na,K)<sub>0.9</sub>(V<sup>5+</sup>,V<sup>4+</sup>,Fe<sup>2+</sup>,Ti)<sub>8</sub>O<sub>20</sub>·4H<sub>2</sub>O",Ca Na K V Fe Ti O H
Ferrarisite,Ca_5_(As^5+^O_3_OH)_2_(As^5+^O_4_)_2_·9H_2_O,Ca<sub>5</sub>(AsO<sub>3</sub>OH)<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·9H<sub>2</sub>O,Ca As O H
Ferricopiapite,Fe^3+^_2/3_Fe^3+^_4_(S^6+^O_4_)_6_(OH)_2_·20H_2_O,Fe<sup>3+</sup><sub>0.67</sub>Fe<sup>3+</sup><sub>4</sub>(SO<sub>4</sub>)<sub>6</sub>(OH)<sub>2</sub>·20H<sub>2</sub>O,Fe S O H
Ferrierite-Mg,"[Mg_2_(K,Na)_2_Ca_0.5_](Si_29_Al_7_)O_72_·18H_2_O","[Mg<sub>2</sub>(K,Na)<sub>2</sub>Ca<sub>0.5</sub>](Si<sub>29</sub>Al<sub>7</sub>)O<sub>72</sub>·18H<sub>2</sub>O",Mg K Na Ca Si Al O H
Ferrierite-Na,"(Na,K)_5_(Si_31_Al_5_)O_72_·18H_2_O","(Na,K)<sub>5</sub>(Si<sub>31</sub>Al<sub>5</sub>)O<sub>72</sub>·18H<sub>2</sub>O",Na K Si Al O H
Ferrilotharmeyerite,CaZn^2+^Fe^3+^(As^5+^O_4_)_2_(OH)·H_2_O,CaZnFe<sup>3+</sup>(AsO<sub>4</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,Ca Zn Fe As O H
Ferrimolybdite,Fe^3+^_2_(Mo^6+^O_4_)_3_·7H_2_O,Fe<sup>3+</sup><sub>2</sub>(Mo<sup>6+</sup>O<sub>4</sub>)<sub>3</sub>·7H<sub>2</sub>O,Fe Mo O H
Ferrinatrite,Na_3_Fe^3+^(S^6+^O_4_)_3_·3H_2_O,Na<sub>3</sub>Fe<sup>3+</sup>(SO<sub>4</sub>)<sub>3</sub>·3H<sub>2</sub>O,Na Fe S O H
Ferrisepiolite,"(Fe^3+^,Fe^2+^,Mg)_4_[(Si,Fe^3+^)_6_O_15_](O,OH)_2_·6H_2_O","(Fe<sup>3+</sup>,Fe<sup>2+</sup>,Mg)<sub>4</sub>[(Si,Fe<sup>3+</sup>)<sub>6</sub>O<sub>15</sub>](O,OH)<sub>2</sub>·6H<sub>2</sub>O",Fe Mg Si O H
Ferristrunzite,Fe^3+^Fe^3+^_2_(P^5+^O_4_)_2_(OH)_3_·5H_2_O,Fe<sup>3+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O,Fe P O H
Ferrisymplesite,Fe^3+^_3_(As^5+^O_4_)_2_(OH)_3_·5H_2_O,Fe<sup>3+</sup><sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O,Fe As O H
Ferrivauxite,Fe^3+^Al_2_(P^5+^O_4_)_2_(OH)_3_·5H_2_O,Fe<sup>3+</sup>Al<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·5H<sub>2</sub>O,Fe Al P O H
Ferrohexahydrite,Fe^2+^S^6+^O_4_·6H_2_O,Fe<sup>2+</sup>(SO<sub>4</sub>)·6H<sub>2</sub>O,Fe S O H
Ferrolaueite,Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·8H<sub>2</sub>O,Fe P O H
Ferrosaponite,"Ca_0.3_(Fe^2+^,Mg,Fe^3+^)_3_(Si,Al)_4_O_10_(OH)_2_·4H_2_O","Ca<sub>0.3</sub>(Fe<sup>2+</sup>,Mg,Fe<sup>3+</sup>)<sub>3</sub>(Si,Al)<sub>4</sub>O<sub>10</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O",Ca Fe Mg Si Al O H
Ferrostrunzite,Fe^2+^Fe^3+^_2_(P^5+^O_4_)_2_(OH)_2_·6H_2_O,Fe<sup>2+</sup>Fe<sup>3+</sup><sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·6H<sub>2</sub>O,Fe P O H
Fervanite,Fe^3+^_4_V^5+^_4_O_16_·5H_2_O,Fe<sup>3+</sup><sub>4</sub>V<sup>5+</sup><sub>4</sub>O<sub>16</sub>·5H<sub>2</sub>O,Fe V O H
Feynmanite,Na(U^6+^O_2_)(S^6+^O_4_)(OH)·3.5H_2_O,Na(UO<sub>2</sub>)(SO<sub>4</sub>)(OH)·3.5H<sub>2</sub>O,Na U O S H
Fibroferrite,Fe^3+^S^6+^O_4_(OH)·5H_2_O,Fe<sup>3+</sup>(SO<sub>4</sub>)(OH)·5H<sub>2</sub>O,Fe S O H
Fiedlerite,Pb^2+^_3_Cl_4_F(OH)·H_2_O,Pb<sub>3</sub>Cl<sub>4</sub>F(OH)·H<sub>2</sub>O,Pb Cl F O H
Fiemmeite,Cu^2+^_2_((C_2_)^6+^O_4_)(OH)_2_·2H_2_O,Cu<sub>2</sub>(C<sub>2</sub>O<sub>4</sub>)(OH)<sub>2</sub>·2H<sub>2</sub>O,Cu C O H
Finchite,Sr(U^6+^O_2_)_2_(V^5+^_2_O_8_)·5H_2_O,Sr(UO<sub>2</sub>)<sub>2</sub>(V<sub>2</sub>O<sub>8</sub>)·5H<sub>2</sub>O,Sr U O V H
Fleischerite,Pb^2+^_3_Ge^4+^(S^6+^O_4_)_2_(OH)_6_·3H_2_O,Pb<sub>3</sub>Ge(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>·3H<sub>2</sub>O,Pb Ge S O H
Florkeite,(K_3_Ca_2_Na)[Al_8_Si_8_O_32_]·12H_2_O,(K<sub>3</sub>Ca<sub>2</sub>Na)[Al<sub>8</sub>Si<sub>8</sub>O<sub>32</sub>]·12H<sub>2</sub>O,K Ca Na Al Si O H
Fluckite,CaMn^2+^(As^5+^O_3_OH)_2_·2H_2_O,CaMn<sup>2+</sup>(AsO<sub>3</sub>OH)<sub>2</sub>·2H<sub>2</sub>O,Ca Mn As O H
Fluellite,Al_2_(PO_4_)F_2_(OH)·7H_2_O,Al<sub>2</sub>(PO<sub>4</sub>)F<sub>2</sub>(OH)·7H<sub>2</sub>O,Al P O F H
Fluorapophyllite-(K),KCa_4_Si_8_O_20_F·8H_2_O,KCa<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>F·8H<sub>2</sub>O,K Ca Si O F H
Fluorapophyllite-(Na),NaCa_4_Si_8_O_20_F·8H_2_O,NaCa<sub>4</sub>Si<sub>8</sub>O<sub>20</sub>F·8H<sub>2</sub>O,Na Ca Si O F H
Fluorcanasite,K_3_Na_3_Ca_5_Si_12_O_30_F_4_·H_2_O,K<sub>3</sub>Na<sub>3</sub>Ca<sub>5</sub>Si<sub>12</sub>O<sub>30</sub>F<sub>4</sub>·H<sub>2</sub>O,K Na Ca Si O F H
Fluorwavellite,Al_3_(PO_4_)_2_(OH)_2_F·5H_2_O,Al<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>F·5H<sub>2</sub>O,Al P O H F
Flurlite,Zn^2+^Zn^2+^_3_Fe^3+^(PO_4_)_3_(OH)_2_(H_2_O)_7_·2H_2_O,Zn<sup>2+</sup>Zn<sup>2+</sup><sub>3</sub>Fe<sup>3+</sup>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>2</sub>(H<sub>2</sub>O)<sub>7</sub>·2H<sub>2</sub>O,Zn Fe P O H
Foggite,CaAlPO_4_(OH)_2_·H_2_O,CaAl(PO<sub>4</sub>)(OH)<sub>2</sub>·H<sub>2</sub>O,Ca Al P O H
Fontanite,Ca(U^6+^O_2_)_3_(CO_3_)_2_O_2_·6H_2_O,Ca(UO<sub>2</sub>)<sub>3</sub>(CO<sub>3</sub>)<sub>2</sub>O<sub>2</sub>·6H<sub>2</sub>O,Ca U O C H
Footemineite,Ca_2_Mn^2+^_5_Be_4_(PO_4_)_6_(OH)_4_·6H_2_O,Ca<sub>2</sub>Mn<sup>2+</sup><sub>5</sub>Be<sub>4</sub>(PO<sub>4</sub>)<sub>6</sub>(OH)<sub>4</sub>·6H<sub>2</sub>O,Ca Mn Be P O H
Fougerite,Fe^2+^_4_Fe^3+^_2_(OH)_12_(CO_3_)·3H_2_O,Fe<sup>2+</sup><sub>4</sub>Fe<sup>3+</sup><sub>2</sub>(OH)<sub>12</sub>(CO<sub>3</sub>)·3H<sub>2</sub>O,Fe O H C
Francevillite,Ba(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5H_2_O,Ba(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·5H<sub>2</sub>O,Ba U O V H
Francoanellite,K_3_Al_5_(PO_3_OH)_6_(PO_4_)_2_·12H_2_O,K<sub>3</sub>Al<sub>5</sub>(PO<sub>3</sub>OH)<sub>6</sub>(PO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,K Al P O H
Francoisite-(Ce),Ce^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O,Ce(UO<sub>2</sub>)<sub>3</sub>O(OH)(PO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Ce U O H P
Francoisite-(Nd),Nd^3+^(U^6+^O_2_)_3_(PO_4_)_2_O(OH)·6H_2_O,Nd(UO<sub>2</sub>)<sub>3</sub>O(OH)(PO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,Nd U O H P
Franconite,NaNb^5+^_2_O_5_(OH)·3H_2_O,NaNb<sub>2</sub>O<sub>5</sub>(OH)·3H<sub>2</sub>O,Na Nb O H
Frankamenite,"K_3_Na_3_Ca_5_Si_12_O_30_(F,OH)_4_·H_2_O","K<sub>3</sub>Na<sub>3</sub>Ca<sub>5</sub>Si<sub>12</sub>O<sub>30</sub>(F,OH)<sub>4</sub>·H<sub>2</sub>O",K Na Ca Si O F H
Franklinphilite,"(K,Na)_4_(Mn^2+^,Mg,Zn^2+^)_48_(Si,Al)_72_(O,OH)_216_·6H_2_O","(K,Na)<sub>4</sub>(Mn<sup>2+</sup>,Mg,Zn)<sub>48</sub>(Si,Al)<sub>72</sub>(O,OH)<sub>216</sub>·6H<sub>2</sub>O",K Na Mn Mg Zn Si Al O H
Fransoletite,Ca_3_Be_2_(PO_4_)_2_(PO_3_OH)_2_·4H_2_O,Ca<sub>3</sub>Be<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(PO<sub>3</sub>OH)<sub>2</sub>·4H<sub>2</sub>O,Ca Be P O H
Franzinite,"(Na,K)_30_Ca_10_(Si_30_Al_30_)O_120_(S^6+^O_4_)_10_·2H_2_O","(Na,K)<sub>30</sub>Ca<sub>10</sub>(Si<sub>30</sub>Al<sub>30</sub>)O<sub>120</sub>(SO<sub>4</sub>)<sub>10</sub>·2H<sub>2</sub>O",Na K Ca Si Al O S H
Fritzscheite,"Mn^2+^(U^6+^O_2_)_2_(V^5+^O_4_,P^5+^O_4_)_2_·4H_2_O","Mn<sup>2+</sup>(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>,PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O",Mn U O V P H
Gaidonnayite,Na_2_Zr^4+^Si_3_O_9_·2H_2_O,Na<sub>2</sub>ZrSi<sub>3</sub>O<sub>9</sub>·2H<sub>2</sub>O,Na Zr Si O H
Gainesite,"Na_2_(Be,Li)Zr^4+^_2_(PO_4_)_4_·1.5H_2_O","Na<sub>2</sub>(Be,Li)Zr<sub>2</sub>(PO<sub>4</sub>)<sub>4</sub>·1.5H<sub>2</sub>O",Na Be Li Zr P O H
Gaitite,Ca^2+^_2_Zn^2+^(As^5+^O_4_)_2_·2H_2_O,Ca<sub>2</sub>Zn(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Ca Zn As O H
Gajardoite,KCa_0.5_As^3+^_4_O_6_Cl_2_·5H_2_O,KCa<sub>0.5</sub>As<sup>3+</sup><sub>4</sub>O<sub>6</sub>Cl<sub>2</sub>·5H<sub>2</sub>O,K Ca As O Cl H
Galgenbergite-(Ce),CaCe^3+^_2_(CO_3_)_4_·H_2_O,CaCe<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>·H<sub>2</sub>O,Ca Ce C O H
Garronite-Ca,NaCa_2.5_(Si_10_Al_6_)O_32_·14H_2_O,Ca<sub>3</sub>(Al<sub>6</sub>Si<sub>10</sub>O<sub>32</sub>)·14H<sub>2</sub>O,Ca Al Si O H
Garronite-Na,Na_6_(Al_6_Si_10_O_32_)·8.5H_2_O,Na<sub>6</sub>(Al<sub>6</sub>Si<sub>10</sub>O<sub>32</sub>)·8.5H<sub>2</sub>O,Na Al Si O H
Gartrellite,Pb^2+^Cu^2+^Fe^3+^(As^5+^O_4_)_2_(OH)·H_2_O,PbCuFe<sup>3+</sup>(AsO<sub>4</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,Pb Cu Fe As O H
Gatewayite,Ca_6_(As^3+^V^4+^_3_V^5+^_9_As^5+^_6_O_51_)·31H_2_O,Ca<sub>6</sub>(As<sup>3+</sup>V<sup>4+</sup><sub>3</sub>V<sup>5+</sup><sub>9</sub>As<sup>5+</sup><sub>6</sub>O<sub>51</sub>)·31H<sub>2</sub>O,Ca As V O H
Gatumbaite,CaAl_2_(PO_4_)_2_(OH)_2_·H_2_O,CaAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>2</sub>·H<sub>2</sub>O,Ca Al P O H
Gaultite,Na_4_Zn^2+^_2_Si_7_O_18_·5H_2_O,Na<sub>4</sub>Zn<sub>2</sub>Si<sub>7</sub>O<sub>18</sub>·5H<sub>2</sub>O,Na Zn Si O H
Gauthierite,KPb^2+^[(U^6+^O_2_)_7_O_5_(OH)_7_]·8H_2_O,KPb[(UO<sub>2</sub>)<sub>7</sub>O<sub>5</sub>(OH)<sub>7</sub>]·8H<sub>2</sub>O,K Pb U O H
