mineral_name,element,count
Albrechtschraufite,U,2
Alburnite,Ag,8
Alburnite,Ge,1
Alburnite,S,4
Alburnite,Te,2
Aldridgeite,Ca,0.5
Aldridgeite,Cd,0.5
Aldridgeite,Cu,2
Aldridgeite,H,12
Aldridgeite,O,17
Aldridgeite,S,2
Aldridgeite,Zn,2
Aleksandrovite,Ca,7
Aleksandrovite,F,2
Aleksandrovite,K,1
Aleksandrovite,Li,3
Aleksandrovite,O,36
Aleksandrovite,Si,12
Aleksandrovite,Sn,2
Aleksite,Bi,2
Aleksite,Pb,1
Aleksite,S,2
Aleksite,Te,2
Aleutite,As,1
Aleutite,Cl,1
Aleutite,Cu,5.5
Aleutite,O,10
Aleutite,V,1
Alexkhomyakovite,C,5
Alexkhomyakovite,Ca,2
Alexkhomyakovite,Cl,1
Alexkhomyakovite,H,12
Alexkhomyakovite,K,6
Alexkhomyakovite,Na,1
Alexkhomyakovite,O,21
Alflarsenite,Be,3
Alflarsenite,Ca,2
Alflarsenite,H,5
Alflarsenite,Na,1
Alflarsenite,O,16
Alflarsenite,Si,4
Alforsite,Ba,5
Alforsite,Cl,1
Alforsite,O,12
Alforsite,P,3
Alfredopetrovite,Al,2
Alfredopetrovite,H,12
Alfredopetrovite,O,15
Alfredopetrovite,Se,3
Aliettite,Al,4
Aliettite,Ca,0.2
Aliettite,H,12
Aliettite,Mg,6
Aliettite,O,28
Aliettite,Si,4
Allactite,As,2
Allactite,H,8
Allactite,Mn,7
Allactite,O,16
Allanite-(Ce),Al,2
Allanite-(Ce),Ca,1
Allanite-(Ce),Ce,1
Allanite-(Ce),Fe,1
Allanite-(Ce),H,1
Allanite-(Ce),O,13
Allanite-(Ce),Si,3
Allanite-(La),Al,2
Allanite-(La),Ca,1
Allanite-(La),Fe,1
Allanite-(La),H,1
Allanite-(La),La,1
Allanite-(La),O,13
Allanite-(La),Si,3
Allanite-(Nd),Al,2
Allanite-(Nd),Ca,1
Allanite-(Nd),Fe,1
Allanite-(Nd),H,1
Allanite-(Nd),Nd,1
Allanite-(Nd),O,13
Allanite-(Nd),Si,3
Allanite-(Y),Al,2
Allanite-(Y),Ca,1
Allanite-(Y),Fe,1
Allanite-(Y),H,1
Allanite-(Y),O,13
Allanite-(Y),Si,3
Allanite-(Y),Y,1
Alleghanyite,H,2
Alleghanyite,Mn,5
Alleghanyite,O,10
Alleghanyite,Si,2
Allendeite,O,12
Allendeite,Sc,4
Allendeite,Zr,3
Allochalcoselite,Cl,5
Allochalcoselite,Cu,6
Allochalcoselite,O,8
Allochalcoselite,Pb,1
Allochalcoselite,Se,2
Alloclasite,As,1
Alloclasite,Co,1
Alloclasite,S,1
Allophane,Al,2
Allophane,H,5.5
Allophane,O,7.75
Allophane,Si,1
Alloriite,Al,24
Alloriite,C,0.25
Alloriite,Ca,13.99999999999999
Alloriite,Cl,1
Alloriite,H,2.83333333333334
Alloriite,K,7.99999999999999
Alloriite,Na,9.99999999999999
Alloriite,O,115.66666666666667
Alloriite,S,4.25
Alloriite,Si,24
Alluaivite,Ca,3
Alluaivite,Cl,1
Alluaivite,H,4
Alluaivite,Mn,3
Alluaivite,Na,19
Alluaivite,Nb,1.5
Alluaivite,O,76
Alluaivite,Si,26
Alluaivite,Ti,1.5
Alluaudite,Fe,2
Alluaudite,Mn,1
Alluaudite,Na,1
Alluaudite,O,12
Alluaudite,P,3
Almandine,Al,2
Almandine,Fe,3
Almandine,O,12
Almandine,Si,3
Almarudite,Al,1.5
Almarudite,Be,1.5
Almarudite,Fe,0.666666666666666
Almarudite,K,1
Almarudite,Mg,0.666666666666666
Almarudite,Mn,0.666666666666666
Almarudite,Na,2
Almarudite,O,30
Almarudite,Si,12
Almeidaite,Fe,9
Almeidaite,H,0.5
Almeidaite,Mn,0.5
Almeidaite,O,37.5
Almeidaite,Pb,1
Almeidaite,Ti,9
Almeidaite,Y,0.5
Almeidaite,Zn,2
Alnaperboeite-(Ce),Al,4
Alnaperboeite-(Ce),Ca,1
Alnaperboeite-(Ce),Ce,2.5
Alnaperboeite-(Ce),H,2
Alnaperboeite-(Ce),Na,0.5
Alnaperboeite-(Ce),O,22
Alnaperboeite-(Ce),Si,5
Alpeite,Al,2
Alpeite,Ca,4
Alpeite,H,6
Alpeite,Mg,1
Alpeite,Mn,3
Alpeite,O,28
Alpeite,Si,5
Alpeite,V,1
Alpersite,H,14
Alpersite,Mg,1
Alpersite,O,11
Alpersite,S,1
Alsakharovite-Zn,H,15
Alsakharovite-Zn,K,1
Alsakharovite-Zn,Na,1
Alsakharovite-Zn,Nb,2
Alsakharovite-Zn,O,34
Alsakharovite-Zn,Si,8
Alsakharovite-Zn,Sr,1
Alsakharovite-Zn,Ti,2
Alsakharovite-Zn,Zn,1
Alstonite,Ba,1
Alstonite,C,2
Alstonite,Ca,1
Alstonite,O,6
Altaite,Pb,1
Altaite,Te,1
Althausite,F,1
Althausite,H,0.25
Althausite,Mg,4
Althausite,O,8.75
Althausite,P,2
Althupite,Al,1
Althupite,H,35
Althupite,O,52
Althupite,P,4
Althupite,Th,1
Althupite,U,7
Altisite,Al,2
Altisite,Cl,3
Altisite,K,6
Altisite,Na,3
Altisite,O,26
Altisite,Si,8
Altisite,Ti,2
Alum-(K),Al,1
Alum-(K),H,24
Alum-(K),K,1
Alum-(K),O,20
Alum-(K),S,2
Alum-(Na),Al,1
Alum-(Na),H,24
Alum-(Na),Na,1
Alum-(Na),O,20
Alum-(Na),S,2
Aluminite,Al,2
Aluminite,H,18
Aluminite,O,15
Aluminite,S,1
Aluminium,Al,1
Aluminoceladonite,Al,1
Aluminoceladonite,Fe,0.5
Aluminoceladonite,H,2
Aluminoceladonite,K,1
Aluminoceladonite,Mg,0.5
Aluminoceladonite,O,12
Aluminoceladonite,Si,4
Aluminocerite-(Ce),Al,0.5
Aluminocerite-(Ce),Ca,3
Aluminocerite-(Ce),Ce,3
Aluminocerite-(Ce),Fe,0.5
Aluminocerite-(Ce),H,7
Aluminocerite-(Ce),O,31
Aluminocerite-(Ce),REE,3
Aluminocerite-(Ce),Si,7
Aluminocopiapite,Al,0.5
Aluminocopiapite,Fe,4
Aluminocopiapite,H,40.5
Aluminocopiapite,Mg,0.5
Aluminocopiapite,O,45.5
Aluminocopiapite,S,6
Aluminocoquimbite,Al,1
Aluminocoquimbite,Fe,1
Aluminocoquimbite,H,18
Aluminocoquimbite,O,21
Aluminocoquimbite,S,3
Aluminomagnesiohulsite,Al,1
Aluminomagnesiohulsite,B,1
Aluminomagnesiohulsite,Mg,2
Aluminomagnesiohulsite,O,5
Aluminopyracmonite,Al,1
Aluminopyracmonite,H,12
Aluminopyracmonite,N,3
Aluminopyracmonite,O,12
Aluminopyracmonite,S,3
Alumoakermanite,Al,0.333333333333333
Alumoakermanite,Ca,1
Alumoakermanite,Fe,0.333333333333333
Alumoakermanite,Mg,0.333333333333333
Alumoakermanite,Na,1
Alumoakermanite,O,7
Alumoakermanite,Si,2
Alumoedtollite,Al,1
Alumoedtollite,As,4
Alumoedtollite,Cu,5
Alumoedtollite,K,2
Alumoedtollite,Na,1
Alumoedtollite,O,18
Alumohydrocalcite,Al,2
Alumohydrocalcite,C,2
Alumohydrocalcite,Ca,1
Alumohydrocalcite,H,12
Alumohydrocalcite,O,14
Alumoklyuchevskite,Al,1
Alumoklyuchevskite,Cu,3
Alumoklyuchevskite,K,3
Alumoklyuchevskite,O,18
Alumoklyuchevskite,S,4
Alumotantite,Al,1
Alumotantite,O,4
Alumotantite,Ta,1
Alumovesuvianite,Al,11
Alumovesuvianite,Ca,19
Alumovesuvianite,H,9
Alumovesuvianite,Mg,2
Alumovesuvianite,O,78
Alumovesuvianite,Si,18
Alunite,Al,3
Alunite,H,6
Alunite,K,1
Alunite,O,14
Alunite,S,2
Alunogen,Al,2
Alunogen,H,34
Alunogen,O,29
Alunogen,S,3
Alwilkinsite-(Y),H,31
Alwilkinsite-(Y),O,32
Alwilkinsite-(Y),S,2
Alwilkinsite-(Y),U,3
Alwilkinsite-(Y),Y,1
Amakinite,Fe,1
Amakinite,H,2
Amakinite,O,2
Amarantite,Fe,2
Amarantite,H,14
Amarantite,O,16
Amarantite,S,2
Amarillite,Fe,1
Amarillite,H,12
Amarillite,Na,1
Amarillite,O,14
Amarillite,S,2
Amblygonite,Al,1
Amblygonite,F,1
Amblygonite,Li,1
Amblygonite,O,4
