mineral_name,rruff_chemistry,chemistry_elements
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Ca
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Si
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Al
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,O
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,S
Afghanite,Na_22_Ca_10_(Si_24_Al_24_)O_96_(S^6+^O_4_)_6_Cl_6_,Cl
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Ca
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,Si
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,O
Afwillite,Ca_3_(SiO_4_)(SiO_2_(OH)_2_)·2H_2_O,H
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Ce
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O
Agardite-(Ce),Cu^2+^_6_Ce^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,La
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O
Agardite-(La),Cu^2+^_6_La^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Nd
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O
Agardite-(Nd),Cu^2+^_6_Nd^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Y
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,Cu
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,As
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,O
Agardite-(Y),Cu^2+^_6_Y^3+^(As^5+^O_4_)_3_(OH)_6_·3H_2_O,H
Agrellite,NaCa_2_Si_4_O_10_F,Na
Agrellite,NaCa_2_Si_4_O_10_F,Ca
Agrellite,NaCa_2_Si_4_O_10_F,Si
Agrellite,NaCa_2_Si_4_O_10_F,O
Agrellite,NaCa_2_Si_4_O_10_F,F
Aguilarite,Ag_4_SeS,Ag
Aguilarite,Ag_4_SeS,Se
Aguilarite,Ag_4_SeS,S
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Ni
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,Se
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,O
Ahlfeldite,Ni^2+^Se^4+^O_3_·2H_2_O,H
Aikinite,CuPbBiS_3_,Cu
Aikinite,CuPbBiS_3_,Pb
Aikinite,CuPbBiS_3_,Bi
Aikinite,CuPbBiS_3_,S
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,K
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,Cu
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,Al
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,Si
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,O
Ajoite,K_3_Cu^2+^_20_Al_3_Si_29_O_76_(OH)_16_·8H_2_O,H
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Fe
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Ni
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",O
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",H
Akaganeite,"(Fe^3+^,Ni^2+^)_8_(OH,O)_16_Cl_1.25_·nH_2_O",Cl
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Mn
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Al
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,Si
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,O
Akatoreite,Mn^2+^_9_Al_2_Si_8_O_24_(OH)_8_,H
Akdalaite,(Al_2_O_3_)_5_·H_2_O,Al
Akdalaite,(Al_2_O_3_)_5_·H_2_O,O
Akdalaite,(Al_2_O_3_)_5_·H_2_O,H
Akermanite,Ca_2_MgSi_2_O_7_,Ca
Akermanite,Ca_2_MgSi_2_O_7_,Mg
Akermanite,Ca_2_MgSi_2_O_7_,Si
Akermanite,Ca_2_MgSi_2_O_7_,O
Akhtenskite,Mn^4+^O_2_,Mn
Akhtenskite,Mn^4+^O_2_,O
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,Mn
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,As
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,O
Akrochordite,Mn^2+^_5_(As^5+^O_4_)_2_(OH)_4_·4H_2_O,H
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,Mg
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,B
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,O
Aksaite,MgB_6_O_7_(OH)_6_·2H_2_O,H
Aktashite,Cu_6_Hg_3_As_4_S_12_,Cu
Aktashite,Cu_6_Hg_3_As_4_S_12_,Hg
Aktashite,Cu_6_Hg_3_As_4_S_12_,As
Aktashite,Cu_6_Hg_3_As_4_S_12_,S
Alabandite,Mn^2+^S^2-^,Mn
Alabandite,Mn^2+^S^2-^,S
Alacranite,As_8_S_9_,As
Alacranite,As_8_S_9_,S
Alamosite,Pb^2+^SiO_3_,Pb
Alamosite,Pb^2+^SiO_3_,Si
Alamosite,Pb^2+^SiO_3_,O
Alarsite,AlAs^5+^O_4_,Al
Alarsite,AlAs^5+^O_4_,As
Alarsite,AlAs^5+^O_4_,O
Albite,NaAlSi_3_O_8_,Na
Albite,NaAlSi_3_O_8_,Al
Albite,NaAlSi_3_O_8_,Si
Albite,NaAlSi_3_O_8_,O
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,Ca
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,Mg
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,U
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,O
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,C
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,F
Albrechtschraufite,Ca_4_Mg(U^6+^O_2_)_2_(CO_3_)_6_F_2_·17H_2_O,H
Alforsite,Ba_5_(PO_4_)_3_Cl,Ba
Alforsite,Ba_5_(PO_4_)_3_Cl,P
Alforsite,Ba_5_(PO_4_)_3_Cl,O
Alforsite,Ba_5_(PO_4_)_3_Cl,Cl
Algodonite,Cu_1-x_As_x_ (x ≈ 1/7),Cu
Algodonite,Cu_1-x_As_x_ (x ≈ 1/7),As
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Ca
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Mg
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Si
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",Al
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",O
Aliettite,"Ca_0.2_Mg_6_(Si,Al)_8_O_20_(OH)_4_·4H_2_O",H
