from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name,color
Epidote,H+1,1,4,5,1.9966666666666666,0.40715943090790796,1,Epidote,#800080
Fayalite,Fe+2,2,4.567609999999999,1,2.39,0.38075313807531375,2,Fayalite,#800080
Fayalite,Si+4,4,4.567609999999999,1,2.39,0.38075313807531375,4,Fayalite,#800080
Fayalite,O-2,-2,4.567609999999999,1,2.39,0.38075313807531375,-2,Fayalite,#800080
Ferro-pargasite,Na+1,1,4,1,1.8442857142857143,0.45793776489805893,1,Ferro-pargasite,#800080
Ferro-pargasite,Ca+2,2,4,1,1.8442857142857143,0.45793776489805893,2,Ferro-pargasite,#800080
Ferro-pargasite,Fe+2,2,4,1,1.8442857142857143,0.45793776489805893,2,Ferro-pargasite,#800080
Ferro-pargasite,Al,NA,4,1,1.8442857142857143,0.45793776489805893,NA,Ferro-pargasite,#800080
Ferro-pargasite,Si+4,4,4,1,1.8442857142857143,0.45793776489805893,4,Ferro-pargasite,#800080
Ferro-pargasite,O-2,-2,4,1,1.8442857142857143,0.45793776489805893,-2,Ferro-pargasite,#800080
Ferro-pargasite,H+1,1,4,1,1.8442857142857143,0.45793776489805893,1,Ferro-pargasite,#800080
Frohbergite,Fe,NA,4,1,1.965,0.0971597103920447,NA,Frohbergite,#800080
Frohbergite,Te,NA,4,1,1.965,0.0971597103920447,NA,Frohbergite,#800080
Goethite,Fe+3,3,4.62,4,2.49,0.33866162835637514,3,Goethite,#800080
Goethite,O-2,-2,4.62,4,2.49,0.33866162835637514,-2,Goethite,#800080
Goethite,H+1,1,4.62,4,2.49,0.33866162835637514,1,Goethite,#800080
Greenalite,Fe+2,2,4.7,2,2.24,0.30714480377290093,2,Greenalite,#800080
Greenalite,Fe+3,3,4.7,2,2.24,0.30714480377290093,3,Greenalite,#800080
Greenalite,Si+4,4,4.7,2,2.24,0.30714480377290093,4,Greenalite,#800080
Greenalite,O-2,-2,4.7,2,2.24,0.30714480377290093,-2,Greenalite,#800080
Greenalite,H+1,1,4.7,2,2.24,0.30714480377290093,1,Greenalite,#800080
Grunerite,Fe+2,2,4,2,2.24,0.30714480377290093,2,Grunerite,#800080
Grunerite,Si+4,4,4,2,2.24,0.30714480377290093,4,Grunerite,#800080
Grunerite,O-2,-2,4,2,2.24,0.30714480377290093,-2,Grunerite,#800080
Grunerite,H+1,1,4,2,2.24,0.30714480377290093,1,Grunerite,#800080
Haxonite,Fe,NA,4.62,1,2.0966666666666667,0.18821810603432415,NA,Haxonite,#800080
