from,to,element_redox_mineral,max_age,num_localities_mineral,mean_pauling,cov_pauling,element_redox_network,mineral_name
Rhonite,Si+4,4,4.5685,2,1.8042857142857143,0.43429914999369346,4,Rhonite
Rhonite,Al,NA,4.5685,2,1.8042857142857143,0.43429914999369346,NA,Rhonite
Roaldite,Fe,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite
Roaldite,Ni,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite
Roaldite,N,NA,4.62,1,2.26,0.29941729505694104,NA,Roaldite
Schorl,Na+1,1,4,1,1.9928571428571429,0.380543673344398,1,Schorl
Schorl,Fe+2,2,4,1,1.9928571428571429,0.380543673344398,2,Schorl
Schorl,Al,NA,4,1,1.9928571428571429,0.380543673344398,NA,Schorl
Schorl,Si+4,4,4,1,1.9928571428571429,0.380543673344398,4,Schorl
Schorl,O-2,-2,4,1,1.9928571428571429,0.380543673344398,-2,Schorl
Schorl,B,NA,4,1,1.9928571428571429,0.380543673344398,NA,Schorl
Schorl,H+1,1,4,1,1.9928571428571429,0.380543673344398,1,Schorl
Schreibersite,Fe,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite
Schreibersite,Ni,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite
Schreibersite,P,NA,4.7,4,1.9766666666666666,0.09563201941826524,NA,Schreibersite
Siderite,Fe+2,2,4,2,2.6066666666666665,0.30939685625808233,2,Siderite
Siderite,C,NA,4,2,2.6066666666666665,0.30939685625808233,NA,Siderite
Siderite,O-2,-2,4,2,2.6066666666666665,0.30939685625808233,-2,Siderite
Siderotil,Fe+2,2,4,4,2.5125,0.274624462219396,2,Siderotil
Siderotil,S+6,6,4,4,2.5125,0.274624462219396,6,Siderotil
Siderotil,O-2,-2,4,4,2.5125,0.274624462219396,-2,Siderotil
Siderotil,H+1,1,4,4,2.5125,0.274624462219396,1,Siderotil
Stannite,Cu+1,1,4,1,2.0675,0.167241636241546,1,Stannite
Stannite,Fe+2,2,4,1,2.0675,0.167241636241546,2,Stannite
Stannite,Sn+4,4,4,1,2.0675,0.167241636241546,4,Stannite
Stannite,S-2,-2,4,1,2.0675,0.167241636241546,-2,Stannite
Taenite,Ni,NA,4.62,4,1.87,0.030250557483916415,NA,Taenite
Taenite,Fe,NA,4.62,4,1.87,0.030250557483916415,NA,Taenite
Tennantite-(Fe),Cu+1,1,4,6,2.078,0.14973971283897608,1,Tennantite-(Fe)
Tennantite-(Fe),Fe+2,2,4,6,2.078,0.14973971283897608,2,Tennantite-(Fe)
Tennantite-(Fe),As+3,3,4,6,2.078,0.14973971283897608,3,Tennantite-(Fe)
Tennantite-(Fe),S-2,-2,4,6,2.078,0.14973971283897608,-2,Tennantite-(Fe)
Tetrataenite,Fe,NA,4.62,2,1.87,0.030250557483916415,NA,Tetrataenite
Tetrataenite,Ni,NA,4.62,2,1.87,0.030250557483916415,NA,Tetrataenite
Tochilinite,Fe+2,2,4.7,2,2.1983333333333333,0.3372256478362073,2,Tochilinite
Tochilinite,S-2,-2,4.7,2,2.1983333333333333,0.3372256478362073,-2,Tochilinite
Tochilinite,Mg+2,2,4.7,2,2.1983333333333333,0.3372256478362073,2,Tochilinite
Tochilinite,O-2,-2,4.7,2,2.1983333333333333,0.3372256478362073,-2,Tochilinite
Tochilinite,H+1,1,4.7,2,2.1983333333333333,0.3372256478362073,1,Tochilinite
Tremolite,Ca+2,2,4,1,1.9466666666666668,0.4365854110792049,2,Tremolite
Tremolite,Mg+2,2,4,1,1.9466666666666668,0.4365854110792049,2,Tremolite
Tremolite,Fe,NA,4,1,1.9466666666666668,0.4365854110792049,NA,Tremolite
Tremolite,Si+4,4,4,1,1.9466666666666668,0.4365854110792049,4,Tremolite
Tremolite,O-2,-2,4,1,1.9466666666666668,0.4365854110792049,-2,Tremolite
Tremolite,H+1,1,4,1,1.9466666666666668,0.4365854110792049,1,Tremolite
Trevorite,Ni+2,2,4.62,1,2.3933333333333335,0.37910392773157625,2,Trevorite
Trevorite,Fe+3,3,4.62,1,2.3933333333333335,0.37910392773157625,3,Trevorite
Trevorite,O-2,-2,4.62,1,2.3933333333333335,0.37910392773157625,-2,Trevorite
Troilite,Fe+2,2,4.7,6,2.205,0.2405125106076692,2,Troilite
Troilite,S-2,-2,4.7,6,2.205,0.2405125106076692,-2,Troilite
Violarite,Fe+2,2,4,1,2.1066666666666665,0.19550585786175284,2,Violarite
Violarite,Ni+3,3,4,1,2.1066666666666665,0.19550585786175284,3,Violarite
Violarite,S-2,-2,4,1,2.1066666666666665,0.19550585786175284,-2,Violarite
Wairauite,Co,NA,4.5685,2,1.855,0.019059481972683156,NA,Wairauite
Wairauite,Fe,NA,4.5685,2,1.855,0.019059481972683156,NA,Wairauite
Wustite,Fe+2,2,4.62,1,2.635,0.4320462685807747,2,Wustite
Wustite,O-2,-2,4.62,1,2.635,0.4320462685807747,-2,Wustite
