mineral_name,mineral_id,max_age_locality,min_age_locality,mindat_id,locality_longname,age_type
Augite,987,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Augite,987,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Awaruite,997,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Awaruite,997,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Awaruite,997,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Barringerite,1039,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Beaverite-(Cu),1071,4,2.5,267325,"Penny West Gold Mine, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Berthierite,1107,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Bornite,1183,4,2.5,206054,"Sulphur Springs Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Bornite,1183,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Bornite,1183,4,2.5,256957,"LaRonde Mine (LaRonde Penna Deposit; Penna Shaft), Abitibi RCM, Abitibi-Témiscamingue, Québec, Canada",O
Bornite,1183,4,2.5,256860,"Duvan Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Bornite,1183,4,2.5,194599,"Normetal Mine (Abana Mine), Normetal, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Bornite,1183,4,2.5,207911,"Selbaie Mine (Detour Mine), Baie-James, Nord-du-Québec, Québec, Canada",O
Chalcopyrite,1399,4,2.5,122924,"Copper Gorge Prospect, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,122926,"Lennon's Find Zinc-lead-copper Prospects, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,273986,"Black And White Gold Mine, Yandicoogina Goldfield, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,206053,"Bernts Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,206052,"Kangaroo Caves Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,206054,"Sulphur Springs Prospect, Panorama Area, Shaw River District, East Pilbara Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,109691,"Freddie Well Prospect, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,267325,"Penny West Gold Mine, Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,109676,"Scuddles Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Chalcopyrite,1399,4,2.5,254752,"Pater Mine, Spragge Township, Algoma District, Ontario, Canada",O
Chalcopyrite,1399,4,2.5,203666,"Genex Mine (Mordey), Godfrey Township, Timmins Area, Cochrane District, Ontario, Canada",O
Chalcopyrite,1399,4,2.5,203667,"Steep Lake Prospect (Rusk; Phillips O'Neill; McKinnon-Pedskalny; Consolidated Brewis), Godfrey Township, Timmins Area, Cochrane District, Ontario, Canada",O
Chalcopyrite,1399,4,2.5,14867,"Little Long Lac Mine, Errington Township, Thunder Bay District, Ontario, Canada",O
Chalcopyrite,1399,4,2.5,244258,"Willroy Mine, Gemmell Township, Thunder Bay District, Ontario, Canada",O
Chalcopyrite,1399,4,2.5,256957,"LaRonde Mine (LaRonde Penna Deposit; Penna Shaft), Abitibi RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,256998,"Trinity Mine, Abitibi RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,256860,"Duvan Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,256856,"Hunter Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,256857,"Lyndhurst Mine, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,194599,"Normetal Mine (Abana Mine), Normetal, Abitibi-Ouest RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,257036,"Louvem Mine, Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,257043,"Manitou-Barvue Mine (Golden Manitou Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,257044,"Raiville Mine (Dunraine Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,22946,"Sigma Mine (Sigma No. 1 Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,244584,"Aldermac Mine, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,9832,"Amulet Mine (Waite Amulet Mine), Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,232669,"Gallen Deposit (West MacDonald Deposit), Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Chalcopyrite,1399,4,2.5,207909,"Mines De Poirier, Baie-James, Nord-du-Québec, Québec, Canada",O
Chalcopyrite,1399,4,2.5,207911,"Selbaie Mine (Detour Mine), Baie-James, Nord-du-Québec, Québec, Canada",O
Chalcopyrite,1399,4,2.5,186826,"Isle-Dieu Mine, Matagami, Nord-du-Québec, Québec, Canada",O
Chalcopyrite,1399,4,2.5,186820,"Norita Mine, Matagami, Nord-du-Québec, Québec, Canada",O
Chalcopyrite,1399,4,2.5,186827,"Orchan Mine, Matagami, Nord-du-Québec, Québec, Canada",O
Chalcopyrite,1399,4,2.5,36825,"Jardine Mine (Mineral Hill Mine), Jardine Mining District (Sheepeater Mining District; Bear Gulch Mining District), Park Co., Montana, USA",O
Chloritoid,1445,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Chloritoid,1445,4,2.5,244584,"Aldermac Mine, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Chromite,1463,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Chromite,1463,4,2.5,122905,"Youangarra Goldfield (Curran's Find), Sandstone Shire, Western Australia, Australia",O
Chromite,1463,4.33,4.01,156631,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",O
Chromite,1463,4.563,0.021,252448,"Haverö Meteorite, Nauvo, Pargas, Southwest Finland, Finland",O
Chromite,1463,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Chromite,1463,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Chromite,1463,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Cohenite,1532,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Coulsonite,1568,4.5685,4.5663,31212,"Efremovka Meteorite, Pavlodar, Pavlodar Region, Kazakhstan",O
Coulsonite,1568,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
Cronstedtite,1582,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Cronstedtite,1582,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Cronstedtite,1582,4.7,0,126090,"Murchison Meteorite, Murchison, City Of Greater Shepparton, Victoria, Australia",O
Cubanite,1590,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Cubanite,1590,4,2.5,109677,"Gossan Hill Cu-Zn Deposit, Golden Grove Mine, Yalgoo Shire, Western Australia, Australia",O
Daubreelite,1635,4.563,0.021,252448,"Haverö Meteorite, Nauvo, Pargas, Southwest Finland, Finland",O
Daubreelite,1635,4.62,4.48,3317,"Canyon Diablo Meteorite, Meteor Crater Area, Coconino Co., Arizona, USA",O
Epidote,1767,4,2.5,244258,"Willroy Mine, Gemmell Township, Thunder Bay District, Ontario, Canada",O
Epidote,1767,4,2.5,22946,"Sigma Mine (Sigma No. 1 Mine), Val D'Or, La Vallée-de-l'Or RCM, Abitibi-Témiscamingue, Québec, Canada",O
Epidote,1767,4,2.5,244584,"Aldermac Mine, Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Epidote,1767,4,2.5,9832,"Amulet Mine (Waite Amulet Mine), Rouyn-Noranda TE, Abitibi-Témiscamingue, Québec, Canada",O
Epidote,1767,4,2.5,186827,"Orchan Mine, Matagami, Nord-du-Québec, Québec, Canada",O
Fayalite,1826,4.567609999999999,4.56565,35,"Allende Meteorite (Pueblito De Allende Meteorite; Qutrixpileo Meteorite [NHM Cat.]), Pueblito De Allende, Chihuahua, Mexico",O
