mineral_name,chemistry_elements
Argentopentlandite,Ag
Argentopentlandite,Fe
Argentopentlandite,Ni
Argentopentlandite,S
Argentopyrite,Ag
Argentopyrite,Fe
Argentopyrite,S
Argentotennantite,Ag
Argentotennantite,Cu
Argentotennantite,Fe
Argentotennantite,Zn
Argentotennantite,As
Argentotennantite,S
Argutite,Ge
Argutite,O
Argyrodite,Ag
Argyrodite,Ge
Argyrodite,S
Arhbarite,Cu
Arhbarite,Mg
Arhbarite,As
Arhbarite,O
Arhbarite,H
Armalcolite,Mg
Armalcolite,Fe
Armalcolite,Ti
Armalcolite,O
Armangite,Mn
Armangite,As
Armangite,O
Armangite,H
Armangite,C
Armenite,Ba
Armenite,Ca
Armenite,Al
Armenite,Si
Armenite,O
Armenite,H
Armstrongite,Ca
Armstrongite,Zr
Armstrongite,Si
Armstrongite,O
Armstrongite,H
Arsenbrackebuschite,Pb
Arsenbrackebuschite,Fe
Arsenbrackebuschite,Zn
Arsenbrackebuschite,As
Arsenbrackebuschite,O
Arsenbrackebuschite,H
Arsendescloizite,Pb
Arsendescloizite,Zn
Arsendescloizite,As
Arsendescloizite,O
Arsendescloizite,H
Arsenic,As
Arseniopleite,Ca
Arseniopleite,Na
Arseniopleite,Mn
Arseniopleite,Mg
Arseniopleite,Fe
Arseniopleite,As
Arseniopleite,O
Arseniosiderite,Ca
Arseniosiderite,Fe
Arseniosiderite,O
Arseniosiderite,As
Arseniosiderite,H
Arsenoclasite,Mn
Arsenoclasite,As
Arsenoclasite,O
Arsenoclasite,H
Arsenocrandallite,Ca
Arsenocrandallite,Al
Arsenocrandallite,As
Arsenocrandallite,O
Arsenocrandallite,H
Arsenoflorencite-(Ce),Ce
Arsenoflorencite-(Ce),Al
Arsenoflorencite-(Ce),As
Arsenoflorencite-(Ce),O
Arsenoflorencite-(Ce),H
Arsenogorceixite,Ba
Arsenogorceixite,Al
Arsenogorceixite,As
Arsenogorceixite,O
Arsenogorceixite,H
Arsenogoyazite,Sr
Arsenogoyazite,Al
Arsenogoyazite,As
Arsenogoyazite,O
Arsenogoyazite,H
Arsenohauchecornite,Ni
Arsenohauchecornite,Bi
Arsenohauchecornite,As
Arsenohauchecornite,S
Arsenolamprite,As
Arsenolite,As
Arsenolite,O
Arsenopalladinite,Pd
Arsenopalladinite,As
Arsenopyrite,Fe
Arsenopyrite,As
Arsenopyrite,S
Arsentsumebite,Pb
Arsentsumebite,Cu
Arsentsumebite,As
Arsentsumebite,O
Arsentsumebite,S
Arsentsumebite,H
Arsenuranospathite,Al
Arsenuranospathite,U
Arsenuranospathite,O
Arsenuranospathite,As
Arsenuranospathite,F
Arsenuranospathite,H
Arsenuranylite,Ca
Arsenuranylite,U
Arsenuranylite,O
Arsenuranylite,As
Arsenuranylite,H
Arthurite,Cu
Arthurite,Fe
Arthurite,As
Arthurite,O
Arthurite,H
Artinite,Mg
Artinite,C
Artinite,O
Artinite,H
Artroeite,Pb
Artroeite,Al
Artroeite,F
Artroeite,O
Artroeite,H
Artsmithite,Hg
Artsmithite,Al
Artsmithite,P
Artsmithite,O
Artsmithite,H
Asbecasite,Ca
Asbecasite,Ti
Asbecasite,As
Asbecasite,Be
Asbecasite,Si
Asbecasite,O
Asbolane,Mn
Asbolane,O
Asbolane,H
Asbolane,Co
Asbolane,Ni
Asbolane,Mg
Asbolane,Ca
Aschamalmite,Pb
Aschamalmite,Bi
Aschamalmite,S
Ashburtonite,H
Ashburtonite,Cu
Ashburtonite,Pb
Ashburtonite,Si
Ashburtonite,O
Ashburtonite,C
Ashburtonite,Cl
Ashcroftine-(Y),K
Ashcroftine-(Y),Na
Ashcroftine-(Y),Y
Ashcroftine-(Y),Si
Ashcroftine-(Y),O
Ashcroftine-(Y),H
Ashcroftine-(Y),C
Ashoverite,Zn
Ashoverite,O
Ashoverite,H
Asisite,Pb
Asisite,Si
Asisite,O
Asisite,Cl
Aspidolite,Na
Aspidolite,Mg
Aspidolite,Si
Aspidolite,Al
Aspidolite,O
Aspidolite,H
Asselbornite,Pb
Asselbornite,U
Asselbornite,O
Asselbornite,Bi
Asselbornite,As
Asselbornite,H
Astrocyanite-(Ce),Cu
Astrocyanite-(Ce),Ce
Astrocyanite-(Ce),U
Astrocyanite-(Ce),O
Astrocyanite-(Ce),C
