mineral_name,mineral_id,ima_chemistry,rruff_chemistry
Alunogen,861,Al<sub>2</sub>(SO<sub>4</sub>)<sub>3</sub>(H<sub>2</sub>O)<sub>12</sub>·5H<sub>2</sub>O,Al_2_(SO_4_)_3_(H_2_O)_12_·5H_2_O
Amakinite,863,"(Fe^2+^,Mg)(OH)<sub>2</sub>",Fe^2+^(OH)_2_
Amarantite,864,Fe^3+^<sub>2</sub>O(SO<sub>4</sub>)<sub>2</sub>·7H<sub>2</sub>O,Fe^3+^_2_O(S^6+^O_4_)_2_·7H_2_O
Amarillite,865,NaFe^3+^(SO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O,NaFe^3+^(SO_4_)_2_·6H_2_O
Amblygonite,866,LiAl(PO<sub>4</sub>)F,LiAlPO_4_F
Amesite,868,Mg<sub>2</sub>Al(AlSiO<sub>5</sub>)(OH)<sub>4</sub>,Mg_2_Al(AlSiO_5_)(OH)_4_
Amicite,869,K<sub>2</sub>Na<sub>2</sub>(Al<sub>4</sub>Si<sub>4</sub>O<sub>16</sub>)·5H<sub>2</sub>O,K_2_Na_2_(Si_4_Al_4_O_16_)·5H_2_O
Aminoffite,870,Ca<sub>3</sub>(BeOH)<sub>2</sub>Si<sub>3</sub>O<sub>10</sub>,Ca_3_(BeOH)_2_Si_3_O_10_
Ammonioalunite,871,(NH<sub>4</sub>)Al<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,N^3-^H_4_Al_3_(S^6+^O_4_)_2_(OH)_6_
Ammonioborite,872,(NH<sub>4</sub>)<sub>3</sub>B<sub>15</sub>O<sub>20</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,(N^3-^H_4_)_3_B_15_O_20_(OH)_8_·4H_2_O
Ammoniojarosite,873,(NH<sub>4</sub>)Fe^3+^<sub>3</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>6</sub>,N^3-^H_4_Fe^3+^_3_(S^6+^O_4_)_2_(OH)_6_
Analcime,876,Na(AlSi<sub>2</sub>O<sub>6</sub>)·H<sub>2</sub>O,NaAlSi_2_O_6_·H_2_O
Anandite,877,BaFe^2+^<sub>3</sub>(Si<sub>3</sub>Fe^3+^)O<sub>10</sub>S(OH),BaFe^2+^_3_(Si_3_Fe^3+^)O_10_S(OH)
Anapaite,878,Ca<sub>2</sub>Fe^2+^(PO<sub>4</sub>)<sub>2</sub>·4H<sub>2</sub>O,Ca_2_Fe^2+^(PO_4_)_2_·4H_2_O
Anatase,879,TiO<sub>2</sub>,Ti^4+^O_2_
Ancylite-(Ce),880,CeSr(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,CeSr(CO_3_)_2_(OH)·H_2_O
Ancylite-(La),881,LaSr(CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O,LaSr(CO_3_)_2_(OH)·H_2_O
Andalusite,882,Al<sub>2</sub>SiO<sub>5</sub>,Al_2_SiO_5_
Andersonite,883,Na<sub>2</sub>Ca(UO<sub>2</sub>)(CO<sub>3</sub>)<sub>3</sub>·5-66H<sub>2</sub>O,Na_2_Ca(UO_2_)(CO_3_)_3_·5-6H_2_O
Andorite VI,884,AgPbSb<sub>3</sub>S<sub>6</sub>,AgPbSb_3_S_6_
Andradite,885,Ca<sub>3</sub>Fe^3+^<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,Ca_3_Fe^3+^_2_(SiO_4_)_3_
Anduoite,888,RuAs<sub>2</sub>,RuAs_2_
Andyrobertsite,889,KCdCu<sub>5</sub>(AsO<sub>4</sub>)<sub>4</sub>[As(OH)<sub>2</sub>O<sub>2</sub>]·2H<sub>2</sub>O,KCd^2+^Cu^2+^_5_(As^5+^O_4_)_4_[As^5+^(OH)_2_O_2_]·2H_2_O
Anglesite,891,Pb(SO<sub>4</sub>),Pb^2+^S^6+^O_4_
Anhydrite,892,Ca(SO<sub>4</sub>),CaS^6+^O_4_
Anilite,893,Cu<sub>7</sub>S<sub>4</sub>,Cu_7_S_4_
Ankerite,895,"Ca(Fe^2+^,Mg)(CO<sub>3</sub>)<sub>2</sub>",CaFe^2+^(CO_3_)_2_
Annabergite,896,Ni<sub>3</sub>(AsO<sub>4</sub>)<sub>2</sub>·8H<sub>2</sub>O,Ni^2+^_3_(As^5+^O_4_)_2_·8H_2_O
Annite,897,KFe^2+^<sub>3</sub>(AlSi<sub>3</sub>O<sub>10</sub>)(OH)<sub>2</sub>,KFe^2+^_3_AlSi_3_O_10_(OH)_2_
Anorthite,898,Ca(Al<sub>2</sub>Si<sub>2</sub>O<sub>8</sub>),CaAl_2_Si_2_O_8_
Antarcticite,900,CaCl<sub>2</sub>·6H<sub>2</sub>O,CaCl_2_·6H_2_O
Anthoinite,901,AlWO<sub>3</sub>(OH)<sub>3</sub>,AlW^6+^O_3_(OH)_3_
Anthonyite,902,Cu(OH)<sub>2</sub>·3H<sub>2</sub>O,Cu^2+^(OH)_2_·3H_2_O
Anthophyllite,903,[box]Mg<sub>2</sub>Mg<sub>5</sub>Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]Mg_2_Mg_5_Si_8_O_22_(OH)_2_
Antigorite,904,Mg<sub>3</sub>Si<sub>2</sub>O<sub>5</sub>(OH)<sub>4</sub>,Mg_3_Si_2_O_5_(OH)_4_
Antimonselite,906,Sb<sub>2</sub>Se<sub>3</sub>,Sb_2_Se_3_
Antimony,907,Sb,Sb
Antlerite,908,Cu^2+^<sub>3</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>,Cu^2+^_3_(S^6+^O_4_)(OH)_4_
Anyuiite,909,AuPb<sub>2</sub>,AuPb_2_
Apachite,910,Cu^2+^<sub>9</sub>Si<sub>10</sub>O<sub>29</sub>·11H<sub>2</sub>O,Cu^2+^_9_Si_10_O_29_·11H_2_O
Aphthitalite,911,K<sub>3</sub>Na(SO<sub>4</sub>)<sub>2</sub>,K_3_Na(SO_4_)_2_
Apjohnite,912,Mn^2+^Al<sub>2</sub>(SO<sub>4</sub>)<sub>4</sub>·22H<sub>2</sub>O,Mn^2+^Al_2_(SO_4_)_4_·22H_2_O
Aplowite,913,Co(SO<sub>4</sub>)·4H<sub>2</sub>O,Co^2+^S^6+^O_4_·4H_2_O
Apuanite,914,(Fe^2+^Fe^3+^<sub>2</sub>)(Fe^3+^<sub>2</sub>Sb^3+^<sub>4</sub>)O<sub>12</sub>S,Fe^2+^Fe^3+^_4_Sb^3+^_4_O_12_S
