mineral_name,mineral_id,ima_chemistry,rruff_chemistry
Tegengrenite,4330,(Mn^3+^<sub>0.5</sub>Sb^5+^<sub>0.5</sub>)Mg<sub>2</sub>O<sub>4</sub>,(Mn^3+^_0.5_Sb^5+^_0.5_)Mg_2_O_4_
Teineite,4331,Cu^2+^(Te^4+^O<sub>3</sub>)·2H<sub>2</sub>O,Cu^2+^Te^4+^O_3_·2H_2_O
Telargpalite,4332,"(Pd,Ag)<sub>3</sub>Te","(Pd,Ag)_3_Te"
Tellurantimony,4333,Sb<sub>2</sub>Te<sub>3</sub>,Sb^3+^_2_Te^2-^_3_
Tellurite,4334,TeO<sub>2</sub>,Te^4+^O_2_
Tellurium,4335,Te,Te
Tellurobismuthite,4336,Bi<sub>2</sub>Te<sub>3</sub>,Bi^3+^_2_Te^2-^_3_
Tellurohauchecornite,4337,Ni<sub>9</sub>BiTeS<sub>8</sub>,Ni_9_BiTeS_8_
Telluronevskite,4338,Bi<sub>3</sub>TeSe<sub>2</sub>,Bi_3_TeSe_2_
Telluropalladinite,4339,Pd<sub>9</sub>Te<sub>4</sub>,Pd_9_Te_4_
Telyushenkoite,4340,CsNa<sub>6</sub>Be<sub>2</sub>Al<sub>3</sub>Si<sub>15</sub>O<sub>39</sub>F<sub>2</sub>,CsNa_6_Be_2_Al_3_Si_15_O_39_F_2_
Temagamite,4341,Pd<sub>3</sub>HgTe<sub>3</sub>,Pd_3_HgTe_3_
Tengchongite,4342,Ca(UO<sub>2</sub>)<sub>6</sub>(MoO<sub>4</sub>)<sub>2</sub>O<sub>5</sub>·12H<sub>2</sub>O,Ca(U^6+^O_2_)_6_(Mo^6+^O_4_)_2_O_5_·12H_2_O
Tengerite-(Y),4343,Y<sub>2</sub>(CO<sub>3</sub>)<sub>3</sub>·2-3H<sub>2</sub>O,Y_2_(CO_3_)_3_·2-3H_2_O
Tennantite,4344,"Cu<sub>6</sub>[Cu<sub>4</sub>(Fe,Zn)<sub>2</sub>]As<sub>4</sub>S<sub>13</sub>",Cu^1+^_10_Cu^2+^_2_As^3+^_4_S^2-^_13_
Tenorite,4345,CuO,Cu^2+^O
Tephroite,4346,Mn^2+^<sub>2</sub>(SiO<sub>4</sub>),Mn^2+^_2_SiO_4_
Terlinguaite,4347,Hg<sub>2</sub>OCl,Hg_2_OCl
Ternesite,4348,Ca<sub>5</sub>(SiO<sub>4</sub>)<sub>2</sub>(SO<sub>4</sub>),Ca_5_(SiO_4_)_2_SO_4_
Ternovite,4349,MgNb<sub>4</sub>O<sub>11</sub>·8-12H<sub>2</sub>O,MgNb^5+^_4_O_11_·8-12H_2_O
Terskite,4351,Na<sub>4</sub>ZrSi<sub>6</sub>O<sub>16</sub>·2H<sub>2</sub>O,Na_4_Zr^4+^Si_6_O_14_(OH)_4_
Teschemacherite,4354,(NH<sub>4</sub>)H(CO<sub>3</sub>),(N^3-^H_4_)HCO_3_
Tetra-auricupride,4356,CuAu,CuAu
Tetraferriannite,4357,KFe^2+^<sub>3</sub>(Si<sub>3</sub>Fe^3+^)O<sub>10</sub>(OH)<sub>2</sub>,KFe^2+^_3_(Si_3_Fe^3+^)O_10_(OH)_2_
Tetraferriphlogopite,4358,KMg<sub>3</sub>(Si<sub>3</sub>Fe^3+^)O<sub>10</sub>(OH)<sub>2</sub>,KMg_3_(Si_3_Fe^3+^)O_10_(OH)_2_
Tetradymite,4359,Bi<sub>2</sub>Te<sub>2</sub>S,Bi^3+^_2_Te^2-^_2_S^2-^
Tetraferroplatinum,4360,PtFe,PtFe
Tetrahedrite,4361,"Cu<sub>6</sub>[Cu<sub>4</sub>(Fe,Zn)<sub>2</sub>]Sb<sub>4</sub>S<sub>13</sub>",Cu^1+^_10_Cu^2+^_2_Sb^3+^_4_S^2-^_13_
Tetrarooseveltite,4362,Bi(AsO<sub>4</sub>),Bi^3+^As^5+^O_4_
Tetrataenite,4363,FeNi,FeNi
Tetrawickmanite,4364,Mn^2+^Sn^4+^(OH)<sub>6</sub>,Mn^2+^Sn^4+^(OH)_6_
Thadeuite,4365,"CaMg<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH,F)<sub>2</sub>",CaMg_3_(PO_4_)_2_(OH)_2_
Thalcusite,4366,"(Cu,Fe)<sub>4</sub>Tl<sub>2</sub>S<sub>4</sub>","(Cu,Fe)_4_Tl_2_S_4_"
Thalenite-(Y),4367,Y<sub>3</sub>Si<sub>3</sub>O<sub>10</sub>F,Y^3+^_3_Si_3_O_10_F
Thalfenisite,4368,"Tl<sub>6</sub>(Fe,Ni)<sub>25</sub>S<sub>26</sub>Cl","Tl_6_(Fe,Ni)_25_S_26_Cl"
Thaumasite,4369,Ca<sub>3</sub>Si(OH)<sub>6</sub>(CO<sub>3</sub>)(SO<sub>4</sub>)·12H<sub>2</sub>O,Ca_3_Si(OH)_6_(SO_4_)(CO_3_)·12H_2_O
Theisite,4370,Cu<sub>5</sub>Zn<sub>5</sub>(AsO<sub>4</sub>)<sub>2</sub>(OH)<sub>14</sub>,Cu^2+^_5_Zn^2+^_5_As^5+^_2_O_8_(OH)_14_
Thenardite,4371,Na<sub>2</sub>(SO<sub>4</sub>),Na_2_SO_4_
Theoparacelsite,4372,Cu<sub>3</sub>(OH)<sub>2</sub>As<sub>2</sub>O<sub>7</sub>,Cu^2+^_3_(OH)_2_As^5+^_2_O_7_(OH)_2_
Theophrastite,4373,Ni(OH)<sub>2</sub>,Ni^2+^(OH)_2_
Theresemagnanite,4374,NaCo<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>6</sub>Cl·6H<sub>2</sub>O,NaCo^2+^_4_(S^6+^O_4_)(OH)_6_Cl·6H_2_O
Thermonatrite,4375,Na<sub>2</sub>(CO<sub>3</sub>)·H<sub>2</sub>O,Na_2_CO_3_·H_2_O
Thomasclarkite-(Y),4376,NaY(HCO<sub>3</sub>)(OH)<sub>3</sub>·4H<sub>2</sub>O,NaY(HCO_3_)(OH)_3_·4H_2_O
Thometzekite,4377,PbCu^2+^<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Pb^2+^Cu^2+^_2_(As^5+^O_4_)_2_·2H_2_O
Thomsenolite,4378,NaCaAlF<sub>6</sub>·H<sub>2</sub>O,NaCaAlF_6_·H_2_O
Thomsonite-Ca,4379,NaCa<sub>2</sub>(Al<sub>5</sub>Si<sub>5</sub>)O<sub>20</sub>·6H<sub>2</sub>O,NaCa_2_(Al_5_Si_5_)O_20_·6H_2_O
Thomsonite-Sr,4380,NaSr<sub>2</sub>(Al<sub>5</sub>Si<sub>5</sub>)O<sub>20</sub>·6-7H<sub>2</sub>O,NaSr_2_Al_5_Si_5_O_20_·6-7H_2_O
Thorbastnasite,4381,ThCa(CO<sub>3</sub>)<sub>2</sub>F<sub>2</sub>·3H<sub>2</sub>O,ThCa(CO_3_)_2_F_2_·3H_2_O
Thoreaulite,4382,Sn^2+^Ta<sub>2</sub>O<sub>6</sub>,Sn^2+^Ta_2_O_6_
Thorianite,4383,ThO<sub>2</sub>,ThO_2_
Thorikosite,4384,Pb<sub>3</sub>O<sub>3</sub>Sb^3+^(OH)Cl<sub>2</sub>,Pb_3_O_3_Sb^3+^(OH)Cl_2_
Thorite,4385,Th(SiO<sub>4</sub>),ThSiO_4_
Thornasite,4386,Na<sub>12</sub>Th<sub>3</sub>(Si<sub>8</sub>O<sub>19</sub>)<sub>4</sub>·18H<sub>2</sub>O,Na_12_Th_3_(Si_8_O_19_)_4_·18H_2_O
Thorosteenstrupine,4388,"(Ca,Th,Mn)<sub>3</sub>Si<sub>4</sub>O<sub>11</sub>F·6H<sub>2</sub>O","(Ca,Th^4+^,Mn^2+^,Mn^3+^)_3_Si_4_O_11_F·6H_2_O"
Thortveitite,4389,Sc<sub>2</sub>Si<sub>2</sub>O<sub>7</sub>,Sc^3+^_2_Si_2_O_7_
Thorutite,4390,"(Th,U,Ca)Ti<sub>2</sub>(O,OH)<sub>6</sub>","(Th,U,Ca)Ti^4+^_2_(O,OH)_6_"
Threadgoldite,4391,Al(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·8H<sub>2</sub>O,Al(UO_2_)_2_(PO_4_)_2_(OH)·8H_2_O
Tiemannite,4392,HgSe,Hg^2+^Se^2-^
Tienshanite,4393,"K(Na,K,[box])<sub>9</sub>Ca<sub>2</sub>Ba<sub>6</sub>Mn^2+^<sub>6</sub>Ti<sub>6</sub>B<sub>12</sub>Si<sub>36</sub>O<sub>114</sub>(O,OH,F)<sub>11</sub>","K(Na,K,[box])_9_Ca_2_Ba_6_Mn^2+^_6_Ti^4+^_6_B_12_Si_36_O_114_(O,OH,F)_11_"
Tiettaite,4394,Na<sub>17</sub>Fe^3+^TiSi<sub>16</sub>O<sub>29</sub>(OH)<sub>30</sub>·2H<sub>2</sub>O,Na_17_Fe^3+^Ti^4+^Si_16_O_29_(OH)_30_·2H_2_O
Tilasite,4396,CaMg(AsO<sub>4</sub>)F,CaMgAs^5+^O_4_F
Tilleyite,4397,Ca<sub>5</sub>Si<sub>2</sub>O<sub>7</sub>(CO<sub>3</sub>)<sub>2</sub>,Ca_5_Si_2_O_7_(CO_3_)_2_
Tillmannsite,4398,HgAg<sub>3</sub>(VO<sub>4</sub>),HgAg_3_V^5+^O_4_
Tin,4399,Sn,Sn
Tinaksite,4400,K<sub>2</sub>NaCa<sub>2</sub>TiSi<sub>7</sub>O<sub>18</sub>(OH)O,K_2_NaCa_2_Ti^4+^Si_7_O_18_(OH)O
Tincalconite,4401,Na<sub>2</sub>B<sub>4</sub>O<sub>5</sub>(OH)<sub>4</sub>·3H<sub>2</sub>O,Na_2_B_4_O_5_(OH)_4_·3H_2_O
Tinsleyite,4402,KAl<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)·2H<sub>2</sub>O,KAl_2_(PO_4_)_2_(OH)·2H_2_O
Tinticite,4403,Fe^3+^<sub>3</sub>(PO<sub>4</sub>)<sub>2</sub>(OH)<sub>3</sub>·3H<sub>2</sub>O,Fe^3+^_3_(PO_4_)_2_(OH)_3_·3H_2_O
Tintinaite,4404,Pb<sub>10</sub>Cu<sub>2</sub>Sb<sub>16</sub>S<sub>35</sub>,Pb_10_Cu_2_Sb_16_S_35_
Tinzenite,4405,Ca<sub>2</sub>Mn^2+^<sub>4</sub>Al<sub>4</sub>[B<sub>2</sub>Si<sub>8</sub>O<sub>30</sub>](OH)<sub>2</sub>,Ca_2_Mn^2+^_4_Al_4_[B_2_Si_8_O_30_](OH)_2_
Tiptopite,4406,"K<sub>2</sub>(Li,Na,Ca)<sub>6</sub>(Be<sub>6</sub>P<sub>6</sub>)O<sub>24</sub>(OH)<sub>2</sub>·1.3H<sub>2</sub>O","K_2_(Li,Na,Ca)_6_(Be_6_P_6_)O_24_(OH)_2_·1.3H_2_O"
Tiragalloite,4407,Mn^2+^<sub>4</sub>As^5+^Si<sub>3</sub>O<sub>12</sub>(OH),Mn^2+^_4_As^5+^Si_3_O_12_(OH)
Tischendorfite,4409,Pd<sub>8</sub>Hg<sub>3</sub>Se<sub>9</sub>,Pd_8_Hg_3_Se_9_
Tisinalite,4410,Na<sub>3</sub>Mn^2+^TiSi<sub>6</sub>O<sub>15</sub>(OH)<sub>3</sub>,Na_3_Mn^2+^Ti^4+^Si_6_O_15_(OH)_3_
Titanite,4411,CaTi(SiO<sub>4</sub>)O,CaTi^4+^SiO_5_
Titanowodginite,4412,Mn^2+^TiTa<sub>2</sub>O<sub>8</sub>,Mn^2+^Ti^4+^Ta^5+^_2_O_8_
Titantaramellite,4413,"Ba<sub>4</sub>(Ti,Fe^3+^,Mg)<sub>4</sub>(O,OH)<sub>2</sub>[B<sub>2</sub>Si<sub>8</sub>O<sub>27</sub>]Cl_x_","Ba_4_(Ti^4+^,Fe^3+^,Mg)_4_(O,OH)_2_[B_2_Si_8_O_27_]Cl_x_"
Tivanite,4414,TiV^3+^O<sub>3</sub>(OH),Ti^4+^V^3+^O_3_(OH)
Tlalocite,4415,Cu<sub>10</sub>Zn<sub>6</sub>(Te^4+^O<sub>3</sub>)(Te^6+^O<sub>4</sub>)<sub>2</sub>Cl(OH)<sub>25</sub>·27H<sub>2</sub>O,Cu^2+^_10_Zn^2+^_6_(Te^4+^O_3_)(Te^6+^O_4_)_2_Cl^1-^(OH)_25_·27H_2_O
Tlapallite,4416,"H<sub>6</sub>(Ca,Pb)<sub>2</sub>(Cu,Zn)<sub>3</sub>O<sub>2</sub>(SO<sub>4</sub>)(Te^4+^O<sub>3</sub>)<sub>4</sub>(Te^6+^O<sub>4</sub>)",H_6_Ca_2_Cu^2+^_3_S^6+^O_4_(Te^4+^O_3_)_4_(Te^6+^O_6_)
Tobermorite,4418,Ca<sub>4</sub>Si<sub>6</sub>O<sub>17</sub>(H<sub>2</sub>O)<sub>2</sub>·(Ca·3H<sub>2</sub>O),Ca_5_Si_6_O_16_(OH)_2_·nH_2_O
Tochilinite,4419,"6(Fe<sub>0.9</sub>S)·5[(Mg,Fe)(OH)<sub>2</sub>]","6(Fe^2+^_0.9_S^2-^)·5[(Mg,Fe^2+^)(OH)_2_]"
Todorokite,4420,"(Na,Ca,K,Ba,Sr)_1-x_(Mn,Mg,Al)<sub>6</sub>O<sub>12</sub>·3-4H<sub>2</sub>O","(Na,Ca,K,Ba,Sr)_1-x_(Mn^4+^,Mn^3+^,Mg,Al)_6_O_12_·3-4H_2_O"
Tokkoite,4421,K<sub>2</sub>Ca<sub>4</sub>Si<sub>7</sub>O<sub>18</sub>(OH)F,K_2_Ca_4_Si_7_O_18_(OH)F
Tolbachite,4422,CuCl<sub>2</sub>,Cu^2+^Cl_2_
Tolovkite,4423,IrSbS,IrSbS
Tomichite,4425,V^3+^<sub>4</sub>Ti^4+^<sub>3</sub>As^3+^O<sub>13</sub>(OH),V^3+^_4_Ti^4+^_3_As^3+^O_13_(OH)
Tongbaite,4426,Cr<sub>3</sub>C<sub>2</sub>,Cr_3_C_2_
Tooeleite,4427,Fe^3+^<sub>6</sub>(AsO<sub>3</sub>)<sub>4</sub>(SO<sub>4</sub>)(OH)<sub>4</sub>·4H<sub>2</sub>O,Fe^3+^_6_(As^3+^O_3_)_4_S^6+^O_4_(OH)_4_·4H_2_O
Topaz,4428,Al<sub>2</sub>SiO<sub>4</sub>F<sub>2</sub>,Al_2_SiO_4_F_2_
Torbernite,4429,Cu(UO<sub>2</sub>)<sub>2</sub>(PO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,Cu^2+^(U^6+^O_2_)_2_(PO_4_)_2_·12H_2_O
Tornebohmite-(Ce),4430,Ce<sub>2</sub>Al(SiO<sub>4</sub>)<sub>2</sub>(OH),Ce_2_Al(SiO_4_)_2_(OH)
Tornebohmite-(La),4431,La<sub>2</sub>Al(SiO<sub>4</sub>)<sub>2</sub>(OH),La_2_Al(SiO_4_)_2_(OH)
Torreyite,4432,Mg<sub>9</sub>Zn<sub>4</sub>(SO<sub>4</sub>)<sub>2</sub>(OH)<sub>22</sub>·8H<sub>2</sub>O,Mg_9_Zn^2+^_4_(S^6+^O_4_)_2_(OH)_22_·8H_2_O
Tosudite,4433,"Na<sub>0.5</sub>(Al,Mg)<sub>6</sub>(Si,Al)<sub>8</sub>O<sub>18</sub>(OH)<sub>12</sub>·5H<sub>2</sub>O","Na_0.5_(Al,Mg)_6_(Si,Al)_8_O_18_(OH)_12_·5H_2_O"
Tounkite,4434,"(Na,Ca,K)<sub>8</sub>(Si<sub>6</sub>Al<sub>6</sub>)O<sub>24</sub>(SO<sub>4</sub>)<sub>2</sub>Cl·0.5H<sub>2</sub>O","(Na,Ca,K)_8_(Si_6_Al_6_)O_24_(SO_4_)_2_Cl·0.5H_2_O"
Trabzonite,4436,Ca<sub>4</sub>[Si<sub>3</sub>O<sub>9</sub>(OH)](OH),Ca_4_Si_3_O_9_(OH)_2_
Traskite,4438,"Ba<sub>21</sub>Ca(Fe^2+^,Mn,Ti)<sub>4</sub>(Ti,Fe,Mg)<sub>12</sub>(Si<sub>12</sub>O<sub>36</sub>)(Si<sub>2</sub>O<sub>7</sub>)<sub>6</sub>(O,OH)<sub>30</sub>Cl<sub>6</sub>·14H<sub>2</sub>O","Ba_21_Ca(Fe^2+^,Mn^2+^,Ti^4+^)_4_(Ti^4+^,Fe^2+^,Mg)_12_(Si_12_O_36_)(Si_2_O_7_)_6_(O,OH)_30_Cl_6_·14H_2_O"
Treasurite,4439,Ag<sub>7</sub>Pb<sub>6</sub>Bi<sub>15</sub>S<sub>30</sub>,Ag_7_Pb_6_Bi_15_S_30_
Trechmannite,4440,AgAsS<sub>2</sub>,Ag^1+^As^3+^S^2-^_2_
Trembathite,4441,Mg<sub>3</sub>B<sub>7</sub>O<sub>13</sub>Cl,Mg_3_B_7_O_13_Cl
Tremolite,4442,[box]Ca<sub>2</sub>(Mg_5.0-4.5_Fe^2+^_0.0-0.5_)Si<sub>8</sub>O<sub>22</sub>(OH)<sub>2</sub>,[box]Ca_2_Mg_5_Si_8_O_22_(OH)_2_
Trevorite,4443,NiFe^3+^<sub>2</sub>O<sub>4</sub>,Ni^2+^Fe^3+^_2_O_4_
Triangulite,4444,Al<sub>3</sub>(UO<sub>2</sub>)<sub>4</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>5</sub>·5H<sub>2</sub>O,Al_3_(UO_2_)_4_(PO_4_)_4_(OH)_5_·5H_2_O
Tridymite,4445,SiO<sub>2</sub>,SiO_2_
Trigonite,4446,Pb<sub>3</sub>Mn^2+^(AsO<sub>3</sub>)<sub>2</sub>(AsO<sub>2</sub>OH),Pb^2+^_3_Mn^2+^(As^3+^O_3_)_2_(As^3+^O_2_OH)
Trilithionite,4448,KLi<sub>1.5</sub>Al<sub>1.5</sub>(Si<sub>3</sub>Al)O<sub>10</sub>F<sub>2</sub>,KLi_1.5_Al_1.5_(Si_3_Al)O_10_F_2_
Trimerite,4449,CaBe<sub>3</sub>Mn^2+^<sub>2</sub>(SiO<sub>4</sub>)<sub>3</sub>,CaMn^2+^_2_(BeSiO_4_)_3_
Triphylite,4451,LiFe^2+^(PO<sub>4</sub>),LiFe^2+^PO_4_
Triplite,4452,"(Mn^2+^,Fe^2+^)<sub>2</sub>(PO<sub>4</sub>)F",Mn^2+^_2_(PO_4_)F
Triploidite,4453,Mn^2+^<sub>2</sub>(PO<sub>4</sub>)(OH),Mn^2+^_2_(PO_4_)(OH)
Trippkeite,4454,Cu^2+^As^3+^<sub>2</sub>O<sub>4</sub>,Cu^2+^As^3+^_2_O_4_
Tripuhyite,4455,Fe^3+^Sb^5+^O<sub>4</sub>,Fe^3+^Sb^5+^O_4_
Tritomite-(Ce),4457,"Ce<sub>5</sub>(SiO<sub>4</sub>,BO<sub>4</sub>)<sub>3</sub>(OH,O)","Ce_5_(SiO_4_,BO_4_)_3_(OH,O)"
Trogerite,4458,(H<sub>3</sub>O)(UO<sub>2</sub>)(AsO<sub>4</sub>)·3H<sub>2</sub>O,(H_3_O)(U^6+^O_2_)(As^5+^O_4_)·3H_2_O
Trogtalite,4459,CoSe<sub>2</sub>,Co^2+^(Se_2_)^2-^
Troilite,4460,FeS,Fe^2+^S^2-^
Trolleite,4461,Al<sub>4</sub>(PO<sub>4</sub>)<sub>3</sub>(OH)<sub>3</sub>,Al_4_(PO_4_)_3_(OH)_3_
Trona,4462,Na<sub>3</sub>(HCO<sub>3</sub>)(CO<sub>3</sub>)·2H<sub>2</sub>O,Na_3_(HCO_3_)(CO_3_)·2H_2_O
Truscottite,4463,Ca<sub>14</sub>Si<sub>24</sub>O<sub>58</sub>(OH)<sub>8</sub>·2H<sub>2</sub>O,Ca_14_Si_24_O_58_(OH)_8_·2H_2_O
Trustedtite,4464,Ni^2+^Ni^3+^<sub>2</sub>Se<sub>4</sub>,Ni^2+^Ni^3+^_2_Se^2-^_4_
Tsaregorodtsevite,4465,N(CH<sub>3</sub>)<sub>4</sub>Si<sub>4</sub>(SiAl)O<sub>12</sub>,N(CH_3_)_4_Si_4_(SiAl)O_12_
Tschermakite,4466,[box]Ca<sub>2</sub>(Mg<sub>3</sub>Al<sub>2</sub>)(Si<sub>6</sub>Al<sub>2</sub>)O<sub>22</sub>(OH)<sub>2</sub>,[box]Ca_2_(Mg_3_Al_2_)Si_6_Al_2_O_22_(OH)_2_
Tschermigite,4467,(NH<sub>4</sub>)Al(SO<sub>4</sub>)<sub>2</sub>·12H<sub>2</sub>O,N^3-^H_4_Al(S^6+^O_4_)_2_·12H_2_O
Tschernichite,4468,CaAl<sub>2</sub>Si<sub>6</sub>O<sub>16</sub>·8H<sub>2</sub>O,CaAl_2_Si_6_O_16_·8H_2_O
Tschortnerite,4469,"Ca<sub>4</sub>(K,Ca,Sr,Ba)<sub>3</sub>Cu<sub>3</sub>Al<sub>12</sub>Si<sub>12</sub>O<sub>48</sub>(OH)<sub>8</sub>·20H<sub>2</sub>O","Ca_4_(K,Ca,Sr,Ba)_3_Cu^2+^_3_Al_12_Si_12_O_48_(OH)_8_·20H_2_O"
Tsepinite-Na,4470,"(Na,H<sub>3</sub>O,K,Sr,Ba,[box])<sub>2</sub>(Ti,Nb)<sub>2</sub>(Si<sub>4</sub>O<sub>12</sub>)(OH,O)<sub>2</sub>·3H<sub>2</sub>O","(Na,H_3_O,K,Sr,Ba,[box])_12_Ti^4+^_8_(Si_4_O_12_)_4_(OH,O)_8_·12-16H_2_O"
Tsnigriite,4471,"Ag<sub>9</sub>SbTe<sub>3</sub>(S,Se)<sub>3</sub>",Ag_9_SbTe_3_S_3_
Tsumcorite,4473,PbZn<sub>2</sub>(AsO<sub>4</sub>)<sub>2</sub>·2H<sub>2</sub>O,Pb^2+^Zn^2+^_2_(As^5+^O_4_)_2_·2H_2_O
Tsumebite,4474,Pb<sub>2</sub>Cu(PO<sub>4</sub>)(SO<sub>4</sub>)(OH),Pb^2+^_2_Cu^2+^(P^5+^O_4_)(S^6+^O_4_)(OH)
Tsumoite,4475,BiTe,BiTe
Tucekite,4476,Ni<sub>9</sub>Sb<sub>2</sub>S<sub>8</sub>,Ni_9_Sb_2_S_8_
Tugarinovite,4477,MoO<sub>2</sub>,Mo^4+^O_2_
Tugtupite,4478,Na<sub>4</sub>BeAlSi<sub>4</sub>O<sub>12</sub>Cl,Na_4_BeAlSi_4_O_12_Cl
Tuhualite,4479,NaFe^2+^Fe^3+^Si<sub>6</sub>O<sub>15</sub>,NaFe^2+^Fe^3+^Si_6_O_15_
Tulameenite,4480,Pt<sub>2</sub>CuFe,CuFePt_2_
Tuliokite,4481,Na<sub>6</sub>BaTh(CO<sub>3</sub>)<sub>6</sub>·6H<sub>2</sub>O,Na_6_BaTh(CO_3_)_6_·6H_2_O
Tumchaite,4482,Na<sub>2</sub>ZrSi<sub>4</sub>O<sub>11</sub>·2H<sub>2</sub>O,Na_2_Zr^4+^Si_4_O_11_·2H_2_O
Tundrite-(Ce),4483,Na<sub>2</sub>Ce<sub>2</sub>TiO<sub>2</sub>(SiO<sub>4</sub>)(CO<sub>3</sub>)<sub>2</sub>,Na_2_Ce^3+^_2_Ti^4+^O_2_SiO_4_(CO_3_)_2_
Tundrite-(Nd),4484,Na<sub>2</sub>Nd<sub>2</sub>TiO<sub>2</sub>(SiO<sub>4</sub>)(CO<sub>3</sub>)<sub>2</sub>,Na_2_Nd^3+^_2_Ti^4+^O_2_(SiO_4_)(CO_3_)_2_
Tunellite,4485,SrB<sub>6</sub>O<sub>9</sub>(OH)<sub>2</sub>·3H<sub>2</sub>O,SrB_6_O_9_(OH)_2_·3H_2_O
Tungstenite,4486,WS<sub>2</sub>,WS_2_
Tungstibite,4487,Sb<sub>2</sub>WO<sub>6</sub>,Sb^3+^_2_W^6+^O_6_
Tungstite,4488,WO<sub>3</sub>·H<sub>2</sub>O,WO_3_·H_2_O
Tungusite,4489,Ca<sub>14</sub>Fe^2+^<sub>9</sub>Si<sub>24</sub>O<sub>60</sub>(OH)<sub>22</sub>,Ca_14_Fe^2+^_9_Si_24_O_60_(OH)_22_
Tuperssuatsiaite,4491,"Na<sub>2</sub>(Fe^3+^,Mn^2+^)<sub>3</sub>Si<sub>8</sub>O<sub>20</sub>(OH)<sub>2</sub>·4H<sub>2</sub>O","Na_2_(Fe^3+^,Mn^2+^)_3_Si_8_O_20_(OH)_2_·4H_2_O"
Turanite,4492,Cu^2+^<sub>5</sub>(VO<sub>4</sub>)<sub>2</sub>(OH)<sub>4</sub>,Cu^2+^_5_(V^5+^O_4_)_2_(OH)_4_
Turkestanite,4493,"(K,[box])(Ca,Na)<sub>2</sub>ThSi<sub>8</sub>O<sub>20</sub>·nH<sub>2</sub>O","(K,[box])(Ca,Na)_2_ThSi_8_O_20_·nH_2_O"
Turneaureite,4494,Ca<sub>5</sub>(AsO<sub>4</sub>)<sub>3</sub>Cl,Ca_5_(As^5+^O_4_)_3_Cl
Turquoise,4495,CuAl<sub>6</sub>(PO<sub>4</sub>)<sub>4</sub>(OH)<sub>8</sub>·4H<sub>2</sub>O,Cu^2+^Al_6_(P^5+^O_4_)_4_(OH)_8_·4H_2_O
Tuscanite,4497,"KCa<sub>6</sub>(Si,Al)<sub>10</sub>O<sub>22</sub>(SO<sub>4</sub>,CO<sub>3</sub>)<sub>2</sub>(OH)·H<sub>2</sub>O","KCa_6_(Si,Al)_10_O_22_(SO_4_,CO_3_)_2_(OH)·H_2_O"
Tvalchrelidzeite,4500,Hg<sub>3</sub>SbAsS<sub>3</sub>,Hg_3_SbAsS_3_
Tvedalite,4501,Ca<sub>4</sub>Be<sub>3</sub>Si<sub>6</sub>O<sub>17</sub>(OH)<sub>4</sub>·3H<sub>2</sub>O,Ca_4_Be_3_Si_6_O_17_(OH)_4_·3H_2_O
Tveitite-(Y),4502,"(Y,Na)<sub>6</sub>(Ca,Na,REE)<sub>12</sub>(Ca,Na)F<sub>42</sub>","(Y,Na)_6_(Ca,Na,Y)_12_(Ca,Na)F_42_"
Tweddillite,4503,CaSr(Mn^3+^<sub>2</sub>Al)[Si<sub>2</sub>O<sub>7</sub>][SiO<sub>4</sub>]O(OH),CaSrMn^3+^_2_Al(Si_2_O_7_)(SiO_4_)O(OH)
Twinnite,4504,Pb(Sb<sub>0.63</sub>As<sub>0.37</sub>)<sub>2</sub>S<sub>4</sub>,PbSb_2_S_4_
Tychite,4505,Na<sub>6</sub>Mg<sub>2</sub>(CO<sub>3</sub>)<sub>4</sub>(SO<sub>4</sub>),Na_6_Mg_2_(CO_3_)_4_(SO_4_)
Tyretskite,4506,Ca<sub>2</sub>B<sub>5</sub>O<sub>9</sub>(OH)·H<sub>2</sub>O,Ca_2_B_5_O_9_(OH)·H_2_O
Tyrolite,4507,Ca<sub>2</sub>Cu<sub>9</sub>(AsO<sub>4</sub>)<sub>4</sub>(CO<sub>3</sub>)(OH)<sub>8</sub>·11H<sub>2</sub>O,Ca_2_Cu^2+^_9_(As^5+^O_4_)_4_(CO_3_)(OH)_8_·11H_2_O
Tyrrellite,4508,"Cu(Co,Ni)<sub>2</sub>Se<sub>4</sub>","Cu^2+^(Co^3+^,Ni^3+^)_2_Se^2-^_4_"
Tyuyamunite,4509,Ca(UO<sub>2</sub>)<sub>2</sub>(VO<sub>4</sub>)<sub>2</sub>·5-8H<sub>2</sub>O,Ca(U^6+^O_2_)_2_(V^5+^O_4_)_2_·5-8H_2_O
Uchucchacuaite,4510,AgMnPb<sub>3</sub>Sb<sub>5</sub>S<sub>12</sub>,Ag^1+^Mn^2+^Pb^2+^_3_Sb^3+^_5_S^2-^_12_
Uklonskovite,4512,NaMg(SO<sub>4</sub>)F·2H<sub>2</sub>O,NaMg(S^6+^O_4_)F·2H_2_O
