mineral_name,element,element_redox_mineral
Altisite,Cl,-1
Aluminite,Al,NA
Aluminite,S,6
Aluminite,O,-2
Aluminite,H,1
Aluminoceladonite,K,1
Aluminoceladonite,Mg,2
Aluminoceladonite,Al,NA
Aluminoceladonite,Si,4
Aluminoceladonite,O,-2
Aluminoceladonite,H,1
Aluminocopiapite,Al,NA
Aluminocopiapite,Mg,2
Aluminocopiapite,Fe,3
Aluminocopiapite,S,6
Aluminocopiapite,O,-2
Aluminocopiapite,H,1
Alumohydrocalcite,Ca,2
Alumohydrocalcite,Al,NA
Alumohydrocalcite,C,NA
Alumohydrocalcite,O,-2
Alumohydrocalcite,H,1
Alumoklyuchevskite,K,1
Alumoklyuchevskite,Cu,2
Alumoklyuchevskite,Al,NA
Alumoklyuchevskite,O,-2
Alumoklyuchevskite,S,NA
Pharmacoalumite,K,1
Pharmacoalumite,Al,NA
Pharmacoalumite,As,5
Pharmacoalumite,O,-2
Pharmacoalumite,H,1
Alumotantite,Al,NA
Alumotantite,Ta,5
Alumotantite,O,-2
Alunite,K,1
Alunite,Al,NA
Alunite,S,NA
Alunite,O,-2
Alunite,H,1
Alunogen,Al,NA
Alunogen,S,NA
Alunogen,O,-2
Alunogen,H,1
Amakinite,Fe,2
Amakinite,O,-2
Amakinite,H,1
Amarantite,Fe,3
Amarantite,O,-2
Amarantite,S,6
Amarantite,H,1
Amarillite,Na,1
Amarillite,Fe,3
Amarillite,S,NA
Amarillite,O,-2
Amarillite,H,1
Amblygonite,Li,1
Amblygonite,Al,NA
Amblygonite,P,NA
Amblygonite,O,-2
Amblygonite,F,-1
Amesite,Mg,2
Amesite,Al,NA
Amesite,Si,4
Amesite,O,-2
Amesite,H,1
Amicite,K,1
Amicite,Na,1
Amicite,Si,4
Amicite,Al,NA
Amicite,O,-2
Amicite,H,1
Aminoffite,Ca,2
Aminoffite,Be,2
Aminoffite,O,-2
Aminoffite,H,1
Aminoffite,Si,4
Ammonioalunite,N,-3
Ammonioalunite,H,1
Ammonioalunite,Al,NA
Ammonioalunite,S,6
Ammonioalunite,O,-2
Ammonioborite,N,-3
Ammonioborite,H,1
Ammonioborite,B,NA
Ammonioborite,O,-2
Ammoniojarosite,N,-3
Ammoniojarosite,H,1
Ammoniojarosite,Fe,3
Ammoniojarosite,S,6
Ammoniojarosite,O,-2
Analcime,Na,1
Analcime,Al,NA
Analcime,Si,4
Analcime,O,-2
Analcime,H,1
Anandite,Ba,2
Anandite,Fe,2
Anandite,Fe,3
Anandite,Si,4
Anandite,O,-2
Anandite,S,NA
Anandite,H,1
Anapaite,Ca,2
Anapaite,Fe,2
Anapaite,P,NA
Anapaite,O,-2
Anapaite,H,1
Anatase,Ti,4
Anatase,O,-2
Ancylite-(Ce),Ce,NA
Ancylite-(Ce),Sr,2
Ancylite-(Ce),C,NA
Ancylite-(Ce),O,-2
Ancylite-(Ce),H,1
Ancylite-(La),La,NA
Ancylite-(La),Sr,2
Ancylite-(La),C,NA
Ancylite-(La),O,-2
Ancylite-(La),H,1
Andalusite,Al,NA
Andalusite,Si,4
Andalusite,O,-2
Andersonite,Na,1
Andersonite,Ca,2
Andersonite,U,NA
Andersonite,O,-2
Andersonite,C,NA
Andersonite,H,1
Andorite VI,Ag,NA
Andorite VI,Pb,NA
Andorite VI,Sb,NA
Andorite VI,S,NA
Andradite,Ca,2
Andradite,Fe,3
Andradite,Si,4
Andradite,O,-2
Anduoite,Ru,NA
Anduoite,As,NA
Andyrobertsite,K,1
Andyrobertsite,Cd,2
Andyrobertsite,Cu,2
Andyrobertsite,As,5
Andyrobertsite,As,5
Andyrobertsite,O,-2
Andyrobertsite,H,1
Anglesite,Pb,2
Anglesite,S,6
Anglesite,O,-2
Anhydrite,Ca,2
Anhydrite,S,6
Anhydrite,O,-2
Anilite,Cu,NA
Anilite,S,NA
Ankerite,Ca,2
Ankerite,Fe,2
Ankerite,C,NA
Ankerite,O,-2
Annabergite,Ni,2
Annabergite,As,5
Annabergite,O,-2
Annabergite,H,1
Annite,K,1
Annite,Fe,2
Annite,Al,NA
Annite,Si,4
Annite,O,-2
Annite,H,1
Anorthite,Ca,2
Anorthite,Al,NA
Anorthite,Si,4
Anorthite,O,-2
Antarcticite,Ca,2
Antarcticite,Cl,-1
Antarcticite,H,1
Antarcticite,O,-2
Anthoinite,Al,NA
Anthoinite,W,6
Anthoinite,O,-2
Anthoinite,H,1
Anthonyite,Cu,2
Anthonyite,O,-2
Anthonyite,H,1
Anthophyllite,Mg,2
Anthophyllite,Si,4
Anthophyllite,O,-2
Anthophyllite,H,1
Antigorite,Mg,2
Antigorite,Si,4
Antigorite,O,-2
Antigorite,H,1
Antimonselite,Sb,NA
Antimonselite,Se,NA
Antimony,Sb,NA
Antlerite,Cu,2
Antlerite,S,6
Antlerite,O,-2
Antlerite,H,1
Anyuiite,Au,NA
Anyuiite,Pb,NA
Apachite,Cu,2
Apachite,Si,4
Apachite,O,-2
Apachite,H,1
Aphthitalite,K,1
Aphthitalite,Na,1
Aphthitalite,S,NA
Aphthitalite,O,-2
Apjohnite,Mn,2
Apjohnite,Al,NA
Apjohnite,S,NA
Apjohnite,O,-2
Apjohnite,H,1
Aplowite,Co,2
Aplowite,S,6
Aplowite,O,-2
Aplowite,H,1
Apuanite,Fe,2
Apuanite,Fe,3
Apuanite,Sb,3
Apuanite,O,-2
Apuanite,S,NA
Aqualite,H,1
Aqualite,O,-2
Aqualite,Na,1
Aqualite,K,1
Aqualite,Sr,2
Aqualite,Ca,2
Aqualite,Zr,4
Aqualite,Si,4
Aqualite,Cl,-1
Aragonite,Ca,2
Aragonite,C,NA
Aragonite,O,-2
Arakiite,Zn,2
Arakiite,Mn,2
Arakiite,Fe,3
Arakiite,As,3
Arakiite,As,5
Arakiite,O,-2
Arakiite,H,1
Aramayoite,Ag,NA
Aramayoite,Sb,NA
Aramayoite,Bi,NA
Aramayoite,S,NA
Aravaipaite,Pb,NA
Aravaipaite,Al,NA
Aravaipaite,F,-1
Aravaipaite,H,1
Aravaipaite,O,-2
Arcanite,K,1
Arcanite,S,6
Arcanite,O,-2
Archerite,H,1
Archerite,K,1
Archerite,P,NA
Archerite,O,-2
Arctite,Na,1
Arctite,Ca,2
Arctite,Ba,2
Arctite,P,NA
Arctite,O,-2
Arctite,F,-1
Arcubisite,Ag,NA
Arcubisite,Cu,NA
Arcubisite,Bi,NA
Arcubisite,S,NA
Ardaite,Pb,NA
Ardaite,Sb,NA
Ardaite,S,NA
Ardaite,Cl,-1
Ardealite,Ca,2
Ardealite,P,NA
Ardealite,O,-2
Ardealite,H,1
Ardealite,S,NA
Ardennite-(As),Mn,2
Ardennite-(As),Al,NA
Ardennite-(As),Mg,2
Ardennite-(As),As,5
Ardennite-(As),O,-2
Ardennite-(As),Si,4
Ardennite-(As),H,1
Arfvedsonite,Na,1
Arfvedsonite,Fe,2
