mineral_name,element,element_redox_mineral
Protasite,H,1
Proto-ferro-anthophyllite,Fe,2
Proto-ferro-anthophyllite,Si,4
Proto-ferro-anthophyllite,O,-2
Proto-ferro-anthophyllite,H,1
Proto-ferro-suenoite,Mn,2
Proto-ferro-suenoite,Fe,2
Proto-ferro-suenoite,Si,4
Proto-ferro-suenoite,O,-2
Proto-ferro-suenoite,H,1
Proustite,Ag,1
Proustite,As,3
Proustite,S,-2
Przhevalskite,Pb,2
Przhevalskite,U,6
Przhevalskite,O,-2
Przhevalskite,P,5
Przhevalskite,H,1
Pseudoboleite,Pb,2
Pseudoboleite,Cu,2
Pseudoboleite,Cl,-1
Pseudoboleite,O,-2
Pseudoboleite,H,1
Pseudobrookite,Fe,3
Pseudobrookite,Ti,4
Pseudobrookite,O,-2
Pseudograndreefite,Pb,NA
Pseudograndreefite,S,NA
Pseudograndreefite,O,-2
Pseudograndreefite,F,-1
Pseudolaueite,Mn,2
Pseudolaueite,Fe,3
Pseudolaueite,P,NA
Pseudolaueite,O,-2
Pseudolaueite,H,1
Pseudomalachite,Cu,2
Pseudomalachite,P,5
Pseudomalachite,O,-2
Pseudomalachite,H,1
Pseudorutile,Fe,3
Pseudorutile,Ti,4
Pseudorutile,O,-2
Pseudosinhalite,Mg,2
Pseudosinhalite,Al,NA
Pseudosinhalite,B,NA
Pseudosinhalite,O,-2
Pseudosinhalite,H,1
Pucherite,Bi,3
Pucherite,V,5
Pucherite,O,-2
Pumpellyite-(Mg),Ca,2
Pumpellyite-(Mg),Mg,2
Pumpellyite-(Mg),Al,NA
Pumpellyite-(Mg),Si,4
Pumpellyite-(Mg),O,-2
Pumpellyite-(Mg),H,1
Purpurite,Mn,3
Purpurite,Fe,3
Purpurite,P,NA
Purpurite,O,-2
Pushcharovskite,K,1
Pushcharovskite,Cu,2
Pushcharovskite,As,5
Pushcharovskite,As,5
Pushcharovskite,As,5
Pushcharovskite,O,-2
Pushcharovskite,H,1
Putoranite,Cu,NA
Putoranite,Fe,NA
Putoranite,S,NA
Pyatenkoite-(Y),Na,1
Pyatenkoite-(Y),Y,3
Pyatenkoite-(Y),Ti,4
Pyatenkoite-(Y),Si,4
Pyatenkoite-(Y),O,-2
Pyatenkoite-(Y),H,1
Pyrargyrite,Ag,NA
Pyrargyrite,Sb,NA
Pyrargyrite,S,NA
Pyrite,Fe,2
Pyrite,S,NA
Pyroaurite,Mg,2
Pyroaurite,Fe,3
Pyroaurite,C,NA
Pyroaurite,O,-2
Pyroaurite,H,1
Pyrobelonite,Pb,2
Pyrobelonite,Mn,2
Pyrobelonite,V,5
Pyrobelonite,O,-2
Pyrobelonite,H,1
Pyrochroite,Mn,2
Pyrochroite,O,-2
Pyrochroite,H,1
Pyrolusite,Mn,4
Pyrolusite,O,-2
Pyromorphite,Pb,NA
Pyromorphite,P,NA
Pyromorphite,O,-2
Pyromorphite,Cl,-1
Pyrope,Mg,2
Pyrope,Al,NA
Pyrope,Si,4
Pyrope,O,-2
Pyrophanite,Mn,2
Pyrophanite,Ti,4
Pyrophanite,O,-2
Pyrophyllite,Al,NA
Pyrophyllite,Si,4
Pyrophyllite,O,-2
Pyrophyllite,H,1
Pyrostilpnite,Ag,NA
Pyrostilpnite,Sb,NA
Pyrostilpnite,S,NA
Pyroxferroite,Fe,2
Pyroxferroite,Si,4
Pyroxferroite,O,-2
Pyroxmangite,Mn,2
Pyroxmangite,Si,4
Pyroxmangite,O,-2
Pyrrhotite,Fe,2
Pyrrhotite,Fe,3
Pyrrhotite,S,-2
Qandilite,Mg,2
Qandilite,Ti,4
Qandilite,Fe,3
Qandilite,Al,NA
Qandilite,O,-2
Qilianshanite,Na,1
Qilianshanite,H,1
Qilianshanite,C,NA
Qilianshanite,O,-2
Qilianshanite,B,NA
Qingheiite,Na,1
Qingheiite,Mn,2
Qingheiite,Mg,2
Qingheiite,Al,NA
Qingheiite,P,NA
Qingheiite,O,-2
Qitianlingite,Fe,2
Qitianlingite,Nb,5
Qitianlingite,W,6
Qitianlingite,O,-2
Quadratite,Ag,1
Quadratite,Cd,2
Quadratite,As,3
Quadratite,S,-2
Quadridavyne,Na,1
Quadridavyne,Ca,2
Quadridavyne,Si,4
Quadridavyne,Al,NA
Quadridavyne,O,-2
Quadridavyne,Cl,-1
Quadruphite,Na,1
Quadruphite,Ca,2
Quadruphite,Ti,4
Quadruphite,Ti,4
Quadruphite,Si,4
Quadruphite,O,-2
Quadruphite,P,NA
Quadruphite,F,-1
Plumbonacrite,Pb,NA
Plumbonacrite,C,NA
Plumbonacrite,O,-2
Plumbonacrite,H,1
Quartz,Si,4
Quartz,O,-2
Queitite,Zn,2
Queitite,Pb,2
Queitite,Si,4
Queitite,O,-2
Queitite,S,6
Quenselite,Pb,2
Quenselite,Mn,3
Quenselite,O,-2
Quenselite,H,1
Quenstedtite,Fe,3
Quenstedtite,S,6
Quenstedtite,O,-2
Quenstedtite,H,1
Quetzalcoatlite,Cu,2
Quetzalcoatlite,Zn,2
Quetzalcoatlite,Te,6
Quetzalcoatlite,O,-2
Quetzalcoatlite,H,1
Quetzalcoatlite,Ag,1
Quetzalcoatlite,Pb,2
Quetzalcoatlite,Cl,-1
Quintinite,Mg,2
Quintinite,Al,NA
Quintinite,O,-2
Quintinite,H,1
Quintinite,C,NA
Raadeite,Mg,2
Raadeite,P,NA
Raadeite,O,-2
Raadeite,H,1
Rabbittite,Ca,2
Rabbittite,Mg,2
Rabbittite,U,NA
Rabbittite,O,-2
Rabbittite,C,NA
Rabbittite,H,1
Rabejacite,Ca,2
Rabejacite,U,6
Rabejacite,O,-2
Rabejacite,S,6
Rabejacite,H,1
Radhakrishnaite,Pb,NA
Radhakrishnaite,Te,NA
Radhakrishnaite,Cl,-1
Radhakrishnaite,S,NA
Radovanite,Cu,2
Radovanite,Fe,3
Radovanite,As,3
Radovanite,As,5
Radovanite,O,-2
Radovanite,H,1
Radtkeite,Hg,2
Radtkeite,S,-2
Radtkeite,Cl,-1
Radtkeite,I,-1
Raguinite,Tl,NA
Raguinite,Fe,NA
Raguinite,S,NA
Raite,Na,1
Raite,Mn,2
Raite,Ti,4
Raite,Si,4
Raite,O,-2
Raite,H,1
Rajite,Cu,2
Rajite,Te,4
Rajite,O,-2
Hydrokenoralstonite,Al,NA
Hydrokenoralstonite,F,-1
Hydrokenoralstonite,H,1
Hydrokenoralstonite,O,-2
Rambergite,Mn,2
Rambergite,S,-2
Ramdohrite,Cd,NA
Ramdohrite,Ag,NA
Ramdohrite,Pb,NA
Ramdohrite,Sb,NA
Ramdohrite,S,NA
Rameauite,K,1
Rameauite,Ca,2
Rameauite,U,6
Rameauite,O,-2
Rameauite,H,1
Rammelsbergite,Ni,NA
Rammelsbergite,As,NA
Ramsbeckite,Cu,2
Ramsbeckite,S,6
Ramsbeckite,O,-2
Ramsbeckite,H,1
Ramsdellite,Mn,4
Ramsdellite,O,-2
Rancieite,Ca,2
Rancieite,Mn,2
Rancieite,Mn,4
Rancieite,Mn,3
Rancieite,O,-2
Rancieite,H,1
Rankachite,Ca,2
Rankachite,V,5
Rankachite,V,3
Rankachite,W,NA
Rankachite,Fe,2
Rankachite,O,-2
Rankachite,H,1
Rankamaite,Na,1
Rankamaite,K,1
Rankamaite,Pb,2
Rankamaite,Ta,5
Rankamaite,Nb,5
Rankamaite,Al,NA
Rankamaite,O,-2
Rankamaite,H,1
Rankinite,Ca,2
Rankinite,Si,4
Rankinite,O,-2
Ransomite,Cu,2
Ransomite,Fe,3
Ransomite,S,6
Ransomite,O,-2
Ransomite,H,1
Ranunculite,Al,NA
Ranunculite,U,NA
Ranunculite,O,-2
Ranunculite,P,NA
Ranunculite,H,1
Rapidcreekite,Ca,2
Rapidcreekite,S,NA
Rapidcreekite,O,-2
Rapidcreekite,C,NA
Rapidcreekite,H,1
Rappoldite,Pb,2
Rappoldite,Co,2
Rappoldite,As,5
Rappoldite,O,-2
Rappoldite,H,1
Raslakite,Na,1
Raslakite,Ca,2
Raslakite,Fe,2
Raslakite,Zr,4
Raslakite,Zr,4
Raslakite,Si,4
Raslakite,Nb,3
Raslakite,O,-2
Raslakite,H,1
Raslakite,Cl,-1
Raspite,Pb,NA
Raspite,W,NA
Raspite,O,-2
Rastsvetaevite,Na,1
Rastsvetaevite,K,1
Rastsvetaevite,Ca,2
Rastsvetaevite,Fe,2
Rastsvetaevite,Zr,4
Rastsvetaevite,Si,4
Rastsvetaevite,O,-2
Rastsvetaevite,H,1
Rastsvetaevite,Cl,-1
Rasvumite,K,1
Rasvumite,Fe,NA
Rasvumite,S,-2
Rathite,Ag,NA
Rathite,Pb,NA
Rathite,Tl,NA
Rathite,As,NA
Rathite,S,NA
Rauenthalite,Ca,2
Rauenthalite,As,5
Rauenthalite,O,-2
Rauenthalite,H,1
Rauvite,Ca,2
Rauvite,U,NA
Rauvite,O,-2
Rauvite,V,5
Rauvite,H,1
Ravatite,C,NA
Ravatite,H,1
Rayite,Ag,NA
Rayite,Tl,NA
Rayite,Pb,NA
Rayite,Sb,NA
Rayite,S,NA
Realgar,As,NA
Realgar,S,NA
Rebulite,Tl,NA
Rebulite,Sb,NA
Rebulite,As,NA
Rebulite,S,NA
Rectorite,Na,1
Rectorite,Ca,2
Rectorite,Al,NA
Rectorite,Si,4
Rectorite,O,-2
Rectorite,H,1
Reddingite,Mn,2
Reddingite,P,NA
Reddingite,O,-2
Reddingite,H,1
Redledgeite,Ba,2
Redledgeite,Ti,4
Redledgeite,Cr,3
Redledgeite,O,-2
Reederite-(Y),Na,1
Reederite-(Y),Mn,2
Reederite-(Y),Y,3
Reederite-(Y),C,4
Reederite-(Y),O,-2
Reederite-(Y),S,6
Reederite-(Y),F,-1
Reederite-(Y),Cl,-1
Reedmergnerite,Na,1
Reedmergnerite,B,NA
Reedmergnerite,Si,4
Reedmergnerite,O,-2
Reevesite,Ni,2
Reevesite,Fe,3
Reevesite,C,4
Reevesite,O,-2
Reevesite,H,1
Refikite,C,NA
Refikite,H,1
Refikite,O,-2
Reichenbachite,Cu,2
Reichenbachite,P,5
Reichenbachite,O,-2
Reichenbachite,H,1
Reinerite,Zn,2
Reinerite,As,3
Reinerite,O,-2
Reinhardbraunsite,Ca,2
Reinhardbraunsite,Si,4
Reinhardbraunsite,O,-2
Reinhardbraunsite,H,1
Remondite-(Ce),Na,1
Remondite-(Ce),Ce,3
Remondite-(Ce),La,3
Remondite-(Ce),Ca,2
Remondite-(Ce),Sr,2
Remondite-(Ce),C,NA
Remondite-(Ce),O,-2
Remondite-(La),Na,1
Remondite-(La),La,NA
Remondite-(La),Ce,NA
Remondite-(La),Ca,2
Remondite-(La),C,NA
Remondite-(La),O,-2
Renardite,Pb,NA
Renardite,U,NA
Renardite,O,-2
Renardite,P,NA
Renardite,H,1
Rengeite,Sr,2
Rengeite,Ti,4
Rengeite,Zr,4
Rengeite,O,-2
Rengeite,Si,4
Renierite,Cu,1
Renierite,Cu,2
Renierite,Zn,2
Renierite,Fe,2
Renierite,Fe,3
Renierite,Ge,4
Renierite,As,5
Renierite,S,-2
Reppiaite,Mn,2
Reppiaite,V,5
Reppiaite,O,-2
Reppiaite,H,1
Retgersite,Ni,2
Retgersite,S,6
Retgersite,O,-2
Retgersite,H,1
Retzian-(Ce),Mn,2
Retzian-(Ce),Ce,3
Retzian-(Ce),As,5
Retzian-(Ce),O,-2
Retzian-(Ce),H,1
Retzian-(La),Mn,2
Retzian-(La),La,3
Retzian-(La),As,5
Retzian-(La),O,-2
Retzian-(La),H,1
Retzian-(Nd),Mn,2
Retzian-(Nd),Nd,3
Retzian-(Nd),As,5
Retzian-(Nd),O,-2
Retzian-(Nd),H,1
Segerstromite,Ca,2
Segerstromite,As,5
Segerstromite,As,3
Segerstromite,O,-2
Segerstromite,H,1
Revdite,Na,1
Revdite,Si,4
Revdite,O,-2
Revdite,H,1
Rhabdophane-(Ce),Ce,NA
Rhabdophane-(Ce),P,NA
Rhabdophane-(Ce),O,-2
Rhabdophane-(Ce),H,1
Rhabdophane-(La),La,NA
Rhabdophane-(La),P,NA
Rhabdophane-(La),O,-2
Rhabdophane-(La),H,1
Rhabdophane-(Nd),Nd,NA
Rhabdophane-(Nd),P,NA
Rhabdophane-(Nd),O,-2
Rhabdophane-(Nd),H,1
Rhodarsenide,Rh,NA
Rhodarsenide,As,NA
Rhodesite,K,1
Rhodesite,Ca,2
Rhodesite,Si,4
Rhodesite,O,-2
Rhodesite,H,1
Rhodium,Rh,NA
Rhodizite,K,1
Rhodizite,Be,2
Rhodizite,Al,NA
Rhodizite,B,NA
Rhodizite,O,-2
Rhodochrosite,Mn,2
Rhodochrosite,C,NA
Rhodochrosite,O,-2
Rhodonite,Mn,2
Rhodonite,Si,4
Rhodonite,O,-2
Rhodostannite,Cu,1
Rhodostannite,Fe,2
Rhodostannite,Sn,4
Rhodostannite,S,-2
Rhomboclase,H,1
Rhomboclase,O,-2
Rhomboclase,Fe,3
Rhomboclase,S,6
Rhonite,Ca,2
Rhonite,Mg,2
Rhonite,Fe,3
Rhonite,Ti,4
Rhonite,O,-2
Rhonite,Si,4
Rhonite,Al,NA
Ribbeite,Mn,2
Ribbeite,Si,4
Ribbeite,O,-2
Ribbeite,H,1
Richellite,Ca,2
Richellite,Fe,2
Richellite,Fe,3
Richellite,P,NA
Richellite,O,-2
Richellite,H,1
Richellite,F,-1
Richelsdorfite,Ca,2
Richelsdorfite,Cu,2
Richelsdorfite,Sb,5
Richelsdorfite,As,5
Richelsdorfite,O,-2
Richelsdorfite,H,1
Richelsdorfite,Cl,-1
Richetite,Fe,3
Richetite,Mg,2
Richetite,Pb,2
Richetite,U,NA
Richetite,O,-2
Richetite,H,1
Richterite,Na,1
Richterite,Ca,2
Richterite,Mg,2
Richterite,Si,4
Richterite,O,-2
Richterite,H,1
Rickardite,Cu,NA
Rickardite,Te,NA
Riebeckite,Na,1
Riebeckite,Fe,2
Riebeckite,Fe,3
Riebeckite,Si,4
Riebeckite,O,-2
Riebeckite,H,1
Rimkorolgite,Ba,2
Rimkorolgite,Mg,2
Rimkorolgite,P,NA
Rimkorolgite,O,-2
Rimkorolgite,H,1
Rinkite-(Ce),Ca,2
Rinkite-(Ce),Ce,3
Rinkite-(Ce),Na,1
Rinkite-(Ce),Ti,4
Rinkite-(Ce),Si,4
Rinkite-(Ce),O,-2
Rinkite-(Ce),F,-1
Rinneite,K,1
Rinneite,Na,1
Rinneite,Fe,2
Rinneite,Cl,-1
Rittmannite,Mn,2
Rittmannite,Mn,2
Rittmannite,Ca,2
Rittmannite,Fe,2
Rittmannite,Mg,2
Rittmannite,Al,NA
Rittmannite,P,NA
Rittmannite,O,-2
Rittmannite,H,1
Riversideite,Ca,2
Riversideite,Si,4
Riversideite,O,-2
Riversideite,H,1
Roaldite,Fe,NA
Roaldite,Ni,NA
Roaldite,N,NA
Robertsite,Ca,2
Robertsite,Mn,3
Robertsite,O,-2
Robertsite,P,NA
Robertsite,H,1
Robinsonite,Pb,NA
Robinsonite,Sb,NA
Robinsonite,S,NA
Rockbridgeite,Fe,2
Rockbridgeite,Fe,3
Rockbridgeite,Fe,3
Rockbridgeite,P,NA
Rockbridgeite,O,-2
Rockbridgeite,H,1
Rodalquilarite,H,1
Rodalquilarite,Fe,3
Rodalquilarite,Te,4
Rodalquilarite,O,-2
Rodalquilarite,Cl,-1
Roeblingite,Ca,2
Roeblingite,Mn,2
Roeblingite,Pb,NA
Roeblingite,Si,4
Roeblingite,O,-2
Roeblingite,S,NA
Roeblingite,H,1
Roedderite,K,1
Roedderite,Na,1
Roedderite,Mg,2
Roedderite,Si,4
Roedderite,O,-2
Roggianite,Ca,2
Roggianite,Be,2
Roggianite,Al,NA
Roggianite,Si,4
Roggianite,O,-2
Roggianite,H,1
Rohaite,Tl,NA
Rohaite,Pb,NA
Rohaite,K,1
Rohaite,Cu,NA
Rohaite,Sb,NA
Rohaite,S,NA
Rokuhnite,Fe,2
Rokuhnite,Cl,-1
Rokuhnite,H,1
Rokuhnite,O,-2
Rollandite,Cu,2
Rollandite,As,5
Rollandite,O,-2
Rollandite,H,1
Romanechite,Ba,2
Romanechite,H,1
Romanechite,O,-2
Romanechite,Mn,4
Romanechite,Mn,3
Romarchite,Sn,NA
Romarchite,O,-2
Romerite,Fe,2
Romerite,Fe,3
Romerite,S,6
Romerite,O,-2
Romerite,H,1
Rontgenite-(Ce),Ca,2
Rontgenite-(Ce),Ce,NA
Rontgenite-(Ce),C,NA
Rontgenite-(Ce),O,-2
Rontgenite-(Ce),F,-1
Rooseveltite,Bi,3
Rooseveltite,As,5
Rooseveltite,O,-2
Roquesite,Cu,1
Roquesite,In,3
Roquesite,S,-2
Rorisite,Ca,2
Rorisite,Cl,-1
Rorisite,F,-1
Rosasite,Cu,2
Rosasite,Zn,2
Rosasite,C,NA
Rosasite,O,-2
Rosasite,H,1
Roscherite,Ca,2
Roscherite,Mn,2
Roscherite,Be,2
Roscherite,P,NA
Roscherite,O,-2
Roscherite,H,1
Roscoelite,K,1
Roscoelite,V,3
Roscoelite,Si,4
Roscoelite,Al,NA
Roscoelite,O,-2
Roscoelite,H,1
Roselite,Ca,2
Roselite,Co,2
Roselite,As,5
Roselite,O,-2
Roselite,H,1
Roselite-beta,Ca,2
Roselite-beta,Co,2
Roselite-beta,As,5
Roselite-beta,O,-2
Roselite-beta,H,1
Rosemaryite,Na,1
Rosemaryite,Mn,2
Rosemaryite,Fe,3
Rosemaryite,Al,NA
Rosemaryite,P,NA
Rosemaryite,O,-2
Rosenbergite,Al,NA
Rosenbergite,F,-1
Rosenbergite,H,1
Rosenbergite,O,-2
Rosenbuschite,Ca,2
Rosenbuschite,Zr,4
Rosenbuschite,Zr,4
Rosenbuschite,Na,1
Rosenbuschite,Ti,4
Rosenbuschite,Si,4
Rosenbuschite,O,-2
Rosenbuschite,F,-1
Rosiaite,Pb,2
Rosiaite,Sb,5
Rosiaite,O,-2
Rosickyite,S,NA
Rosieresite,Pb,NA
Rosieresite,Cu,NA
Rosieresite,Al,NA
Rosieresite,P,NA
Rosieresite,O,-2
Rosieresite,H,1
Rossite,Ca,2
Rossite,V,5
Rossite,O,-2
Rossite,H,1
Rosslerite,Mg,2
Rosslerite,As,5
Rosslerite,O,-2
Rosslerite,H,1
Rossmanite,Al,NA
Rossmanite,Li,1
Rossmanite,Si,4
Rossmanite,O,-2
Rossmanite,B,NA
Rossmanite,H,1
Rostite,Al,NA
Rostite,S,NA
Rostite,O,-2
Rostite,H,1
Rouaite,Cu,2
Rouaite,N,5
Rouaite,O,-2
Rouaite,H,1
Roubaultite,Cu,2
Roubaultite,O,-2
Roubaultite,U,6
Roubaultite,C,NA
Roubaultite,H,1
Rouseite,Pb,2
Rouseite,Mn,2
Rouseite,As,3
Rouseite,O,-2
Rouseite,H,1
Routhierite,Cu,1
Routhierite,Tl,1
Routhierite,Hg,2
Routhierite,As,3
Routhierite,S,-2
Rouvilleite,Na,1
Rouvilleite,Ca,2
Rouvilleite,Mn,2
Rouvilleite,C,NA
Rouvilleite,O,-2
Rouvilleite,F,-1
Roweite,Ca,2
Roweite,Mn,2
Roweite,B,NA
Roweite,O,-2
Roweite,H,1
Roxbyite,Cu,NA
Roxbyite,S,NA
Rozenite,Fe,2
Rozenite,S,6
Rozenite,O,-2
Rozenite,H,1
Ruarsite,Ru,3
Ruarsite,As,NA
Ruarsite,S,NA
Rubicline,Rb,1
Rubicline,Al,NA
Rubicline,Si,4
Rubicline,O,-2
Rucklidgeite,Pb,2
Rucklidgeite,Bi,3
Rucklidgeite,Te,-2
Ruitenbergite,Ca,2
Ruitenbergite,B,NA
Ruitenbergite,O,-2
Ruitenbergite,H,1
Ruitenbergite,Cl,-1
Ruizite,Ca,2
Ruizite,Mn,3
Ruizite,Si,4
Ruizite,O,-2
Ruizite,H,1
Russellite,Bi,NA
Russellite,W,NA
Russellite,O,-2
Rustenburgite,Pt,NA
Rustenburgite,Sn,NA
Rustumite,Ca,2
Rustumite,Si,4
Rustumite,O,-2
Rustumite,H,1
Rustumite,Cl,-1
Ruthenarsenite,Ru,NA
Ruthenarsenite,Ni,NA
Ruthenarsenite,As,NA
Rutheniridosmine,Ir,NA
Rutheniridosmine,Os,NA
Rutheniridosmine,Ru,NA
Ruthenium,Ru,NA
Rutherfordine,U,NA
Rutherfordine,O,-2
Rutherfordine,C,NA
Rutile,Ti,4
Rutile,O,-2
Rynersonite,Ca,2
Rynersonite,Ta,NA
Rynersonite,O,-2
Sabatierite,Cu,NA
Sabatierite,Tl,NA
Sabatierite,Se,NA
Sabieite,N,-3
Sabieite,H,1
Sabieite,Fe,3
Sabieite,S,6
Sabieite,O,-2
Sabinaite,Na,1
Sabinaite,Ti,4
Sabinaite,Zr,4
Sabinaite,O,-2
Sabinaite,C,NA
Sabugalite,H,1
Sabugalite,Al,NA
Sabugalite,U,NA
Sabugalite,O,-2
Sabugalite,P,NA
Sacrofanite,Na,1
Sacrofanite,K,1
Sacrofanite,Ca,2
Sacrofanite,Si,4
Sacrofanite,Al,NA
Sacrofanite,O,-2
Sacrofanite,S,NA
Sacrofanite,Cl,-1
Sacrofanite,F,-1
Sacrofanite,H,1
Sadanagaite,Na,1
Sadanagaite,Ca,2
Sadanagaite,Mg,2
Sadanagaite,Al,NA
Sadanagaite,Si,4
Sadanagaite,O,-2
Sadanagaite,H,1
Saddlebackite,Pb,2
Saddlebackite,Bi,3
Saddlebackite,Te,-2
Saddlebackite,S,-2
Safflorite,Co,2
Safflorite,As,NA
Sahamalite-(Ce),Ce,NA
Sahamalite-(Ce),Mg,2
Sahamalite-(Ce),C,NA
Sahamalite-(Ce),O,-2
Sahlinite,Pb,2
Sahlinite,O,-2
Sahlinite,As,5
Sahlinite,Cl,-1
Sailaufite,Ca,2
Sailaufite,Na,1
Sailaufite,Mn,3
Sailaufite,O,-2
Sailaufite,As,5
Sailaufite,C,NA
Sailaufite,H,1
Sainfeldite,Ca,2
Sainfeldite,As,5
Sainfeldite,As,5
Sainfeldite,O,-2
Sainfeldite,H,1
Sakhaite,Ca,2
Sakhaite,Mg,2
Sakhaite,Al,NA
Sakhaite,Si,4
Sakhaite,O,-2
Sakhaite,H,1
Sakhaite,C,NA
Sakhaite,B,NA
Sakhaite,Cl,-1
Sakuraiite,Cu,1
Sakuraiite,Cu,2
Sakuraiite,Zn,2
Sakuraiite,Fe,2
Sakuraiite,In,3
Sakuraiite,Sn,4
Sakuraiite,S,-2
Salammoniac,N,-3
Salammoniac,H,1
Salammoniac,Cl,-1
Saleeite,Mg,2
Saleeite,U,NA
Saleeite,O,-2
Saleeite,P,NA
Saleeite,H,1
Salesite,Cu,2
Salesite,I,5
Salesite,O,-2
Salesite,H,1
Saliotite,Li,1
Saliotite,Na,1
Saliotite,Al,NA
Saliotite,Si,4
Saliotite,O,-2
Saliotite,H,1
Samarskite-(Y),Y,NA
Samarskite-(Y),Fe,3
Samarskite-(Y),Nb,5
Samarskite-(Y),O,-2
Samfowlerite,Ca,2
Samfowlerite,Mn,2
Samfowlerite,Zn,2
Samfowlerite,Be,2
Samfowlerite,Si,4
Samfowlerite,O,-2
Samfowlerite,H,1
Sampleite,Na,1
Sampleite,Ca,2
Sampleite,Cu,2
Sampleite,P,5
Sampleite,O,-2
Sampleite,Cl,-1
Sampleite,H,1
Samsonite,Ag,1
Samsonite,Mn,2
Samsonite,Sb,3
Samsonite,S,-2
Samuelsonite,Ca,2
Samuelsonite,Mn,2
Samuelsonite,Al,NA
Samuelsonite,P,NA
Samuelsonite,O,-2
Samuelsonite,H,1
Sanbornite,Ba,2
Sanbornite,Si,4
Sanbornite,O,-2
Sanderite,Mg,2
Sanderite,S,6
Sanderite,O,-2
Sanderite,H,1
Saneroite,Na,1
Saneroite,Mn,2
Saneroite,Mn,3
Saneroite,V,5
Saneroite,Si,4
Saneroite,O,-2
Saneroite,H,1
Sanidine,K,1
Sanidine,Al,NA
Sanidine,Si,4
Sanidine,O,-2
Santabarbaraite,Fe,3
Santabarbaraite,P,NA
Santabarbaraite,O,-2
Santabarbaraite,H,1
Santafeite,Ca,2
Santafeite,Sr,2
Santafeite,Na,1
Santafeite,Mn,2
Santafeite,Mn,4
Santafeite,Fe,3
Santafeite,V,5
Santafeite,O,-2
Santafeite,H,1
Santanaite,Pb,2
Santanaite,Pb,4
Santanaite,Cr,6
Santanaite,O,-2
Santite,K,1
Santite,B,NA
Santite,O,-2
Santite,H,1
Saponite,Ca,2
Saponite,Na,1
Saponite,Mg,2
Saponite,Fe,2
Saponite,Si,4
Saponite,Al,NA
Saponite,O,-2
Saponite,H,1
Sapphirine,Mg,2
Sapphirine,Al,NA
Sapphirine,O,-2
Sapphirine,Si,4
Sarcopside,Fe,2
Sarcopside,P,NA
Sarcopside,O,-2
Sarkinite,Mn,2
Sarkinite,As,5
Sarkinite,O,-2
Sarkinite,H,1
Sarmientite,Fe,3
Sarmientite,As,5
Sarmientite,O,-2
Sarmientite,S,6
Sarmientite,H,1
Sartorite,Pb,NA
Sartorite,As,NA
Sartorite,S,NA
Sasaite,Al,NA
Sasaite,P,NA
Sasaite,O,-2
Sasaite,H,1
Sassolite,B,NA
Sassolite,O,-2
Sassolite,H,1
Satimolite,K,1
Satimolite,Na,1
Satimolite,Al,NA
Satimolite,Mg,2
Satimolite,B,NA
Satimolite,O,-2
Satimolite,H,1
Satimolite,Cl,-1
Sauconite,Na,1
Sauconite,Zn,2
Sauconite,Si,4
Sauconite,Al,NA
Sauconite,O,-2
Sauconite,H,1
Sayrite,Pb,NA
Sayrite,U,NA
Sayrite,O,-2
Sayrite,H,1
Sazhinite-(Ce),Na,1
Sazhinite-(Ce),Ce,NA
Sazhinite-(Ce),Si,4
Sazhinite-(Ce),O,-2
Sazhinite-(Ce),H,1
Sazykinaite-(Y),Na,1
Sazykinaite-(Y),Y,NA
Sazykinaite-(Y),Zr,4
Sazykinaite-(Y),Si,4
Sazykinaite-(Y),O,-2
Sazykinaite-(Y),H,1
Sborgite,Na,1
Sborgite,B,NA
Sborgite,O,-2
Sborgite,H,1
Scainiite,Pb,NA
Scainiite,Sb,NA
Scainiite,S,NA
Scainiite,O,-2
Scandiobabingtonite,Ca,2
Scandiobabingtonite,Na,1
Scandiobabingtonite,Fe,2
Scandiobabingtonite,Fe,3
Scandiobabingtonite,Mn,2
Scandiobabingtonite,Sc,3
Scandiobabingtonite,Si,4
Scandiobabingtonite,O,-2
Scandiobabingtonite,H,1
Scarbroite,Al,NA
Scarbroite,C,NA
Scarbroite,O,-2
Scarbroite,H,1
Scawtite,Ca,2
Scawtite,Si,4
Scawtite,O,-2
Scawtite,C,NA
Scawtite,H,1
Schachnerite,Ag,NA
Schachnerite,Hg,NA
Schafarzikite,Fe,2
Schafarzikite,Sb,3
Schafarzikite,O,-2
Schaferite,Na,1
Schaferite,Ca,2
Schaferite,Mg,2
Schaferite,V,5
Schaferite,O,-2
Schairerite,Na,1
Schairerite,S,NA
Schairerite,O,-2
Schairerite,Cl,-1
Schairerite,F,-1
Schallerite,Mn,2
Schallerite,As,3
Schallerite,Si,4
Schallerite,O,-2
Schallerite,H,1
Schaurteite,Ca,2
Schaurteite,Ge,4
Schaurteite,S,NA
Schaurteite,O,-2
Schaurteite,H,1
Scheelite,Ca,2
Scheelite,W,6
Scheelite,O,-2
Schertelite,N,-3
Schertelite,H,1
Schertelite,Mg,2
Schertelite,P,NA
Schertelite,O,-2
Schieffelinite,Pb,2
Schieffelinite,Te,6
Schieffelinite,O,-2
Schieffelinite,H,1
Schieffelinite,S,6
Schmiederite,Cu,2
Schmiederite,Pb,2
Schmiederite,Se,4
Schmiederite,Se,6
Schmiederite,O,-2
Schmiederite,H,1
Schmitterite,U,6
Schmitterite,O,-2
Schmitterite,Te,4
